@relation unknow
@attribute left-weight real [1.0, 5.0]
@attribute left-distance real [1.0, 5.0]
@attribute right-weight real [1.0, 5.0]
@attribute right-distance real [1.0, 5.0]
@attribute class {L, B, R}
@inputs left-weight, left-distance, right-weight, right-distance
@outputs class
@data
1.0, 4.0, 4.0, 1.0, B
1.0, 4.0, 4.0, 2.0, R
1.0, 4.0, 4.0, 4.0, R
1.0, 4.0, 4.0, 5.0, R
1.0, 4.0, 5.0, 4.0, R
1.0, 4.0, 5.0, 5.0, R
1.0, 5.0, 1.0, 1.0, L
1.0, 5.0, 1.0, 2.0, L
1.0, 5.0, 1.0, 3.0, L
1.0, 5.0, 1.0, 5.0, B
1.0, 5.0, 2.0, 1.0, L
1.0, 5.0, 2.0, 2.0, L
1.0, 5.0, 2.0, 4.0, R
1.0, 5.0, 3.0, 2.0, R
1.0, 5.0, 3.0, 3.0, R
1.0, 5.0, 3.0, 4.0, R
1.0, 5.0, 3.0, 5.0, R
1.0, 5.0, 4.0, 2.0, R
1.0, 5.0, 4.0, 4.0, R
1.0, 5.0, 4.0, 5.0, R
1.0, 5.0, 5.0, 1.0, B
1.0, 5.0, 5.0, 3.0, R
2.0, 1.0, 1.0, 1.0, L
2.0, 1.0, 1.0, 2.0, B
2.0, 1.0, 2.0, 1.0, B
2.0, 1.0, 2.0, 2.0, R
2.0, 1.0, 2.0, 3.0, R
2.0, 1.0, 2.0, 4.0, R
2.0, 1.0, 2.0, 5.0, R
2.0, 1.0, 3.0, 1.0, R
2.0, 1.0, 3.0, 2.0, R
2.0, 1.0, 3.0, 5.0, R
2.0, 1.0, 4.0, 1.0, R
2.0, 1.0, 4.0, 3.0, R
2.0, 1.0, 4.0, 4.0, R
2.0, 1.0, 5.0, 1.0, R
2.0, 1.0, 5.0, 3.0, R
2.0, 1.0, 5.0, 4.0, R
2.0, 1.0, 5.0, 5.0, R
2.0, 2.0, 1.0, 1.0, L
2.0, 2.0, 1.0, 2.0, L
2.0, 2.0, 1.0, 3.0, L
2.0, 2.0, 1.0, 4.0, B
2.0, 2.0, 1.0, 5.0, R
2.0, 2.0, 2.0, 1.0, L
2.0, 2.0, 2.0, 3.0, R
2.0, 2.0, 2.0, 4.0, R
2.0, 2.0, 2.0, 5.0, R
2.0, 2.0, 3.0, 2.0, R
2.0, 2.0, 3.0, 3.0, R
2.0, 2.0, 3.0, 4.0, R
2.0, 2.0, 3.0, 5.0, R
2.0, 2.0, 4.0, 1.0, B
2.0, 2.0, 4.0, 3.0, R
2.0, 2.0, 4.0, 4.0, R
2.0, 2.0, 4.0, 5.0, R
2.0, 2.0, 5.0, 1.0, R
2.0, 2.0, 5.0, 2.0, R
2.0, 2.0, 5.0, 3.0, R
2.0, 2.0, 5.0, 4.0, R
2.0, 2.0, 5.0, 5.0, R
2.0, 3.0, 1.0, 1.0, L
2.0, 3.0, 1.0, 2.0, L
2.0, 3.0, 1.0, 3.0, L
2.0, 3.0, 1.0, 4.0, L
2.0, 3.0, 1.0, 5.0, L
2.0, 3.0, 2.0, 4.0, R
2.0, 3.0, 2.0, 5.0, R
2.0, 3.0, 3.0, 1.0, L
2.0, 3.0, 3.0, 2.0, B
2.0, 3.0, 3.0, 3.0, R
2.0, 3.0, 3.0, 4.0, R
2.0, 3.0, 3.0, 5.0, R
2.0, 3.0, 4.0, 1.0, L
2.0, 3.0, 4.0, 2.0, R
2.0, 3.0, 4.0, 3.0, R
2.0, 3.0, 4.0, 5.0, R
2.0, 3.0, 5.0, 1.0, L
2.0, 3.0, 5.0, 2.0, R
2.0, 3.0, 5.0, 4.0, R
2.0, 4.0, 1.0, 1.0, L
2.0, 4.0, 1.0, 2.0, L
2.0, 4.0, 1.0, 3.0, L
2.0, 4.0, 1.0, 4.0, L
2.0, 4.0, 1.0, 5.0, L
2.0, 4.0, 2.0, 1.0, L
2.0, 4.0, 2.0, 4.0, B
2.0, 4.0, 2.0, 5.0, R
2.0, 4.0, 3.0, 1.0, L
2.0, 4.0, 3.0, 2.0, L
2.0, 4.0, 3.0, 5.0, R
2.0, 4.0, 4.0, 1.0, L
2.0, 4.0, 4.0, 2.0, B
2.0, 4.0, 4.0, 4.0, R
2.0, 4.0, 4.0, 5.0, R
2.0, 4.0, 5.0, 1.0, L
2.0, 4.0, 5.0, 3.0, R
2.0, 4.0, 5.0, 4.0, R
2.0, 4.0, 5.0, 5.0, R
2.0, 5.0, 1.0, 3.0, L
2.0, 5.0, 1.0, 4.0, L
2.0, 5.0, 2.0, 1.0, L
2.0, 5.0, 2.0, 2.0, L
2.0, 5.0, 2.0, 3.0, L
2.0, 5.0, 2.0, 4.0, L
2.0, 5.0, 2.0, 5.0, B
2.0, 5.0, 3.0, 1.0, L
2.0, 5.0, 3.0, 2.0, L
2.0, 5.0, 3.0, 3.0, L
2.0, 5.0, 4.0, 2.0, L
2.0, 5.0, 4.0, 3.0, R
2.0, 5.0, 4.0, 5.0, R
2.0, 5.0, 5.0, 1.0, L
2.0, 5.0, 5.0, 2.0, B
2.0, 5.0, 5.0, 3.0, R
2.0, 5.0, 5.0, 5.0, R
3.0, 1.0, 1.0, 2.0, L
3.0, 1.0, 1.0, 3.0, B
3.0, 1.0, 1.0, 4.0, R
3.0, 1.0, 1.0, 5.0, R
3.0, 1.0, 2.0, 1.0, L
3.0, 1.0, 2.0, 3.0, R
3.0, 1.0, 2.0, 4.0, R
3.0, 1.0, 2.0, 5.0, R
3.0, 1.0, 3.0, 2.0, R
3.0, 1.0, 3.0, 3.0, R
3.0, 1.0, 3.0, 4.0, R
3.0, 1.0, 4.0, 1.0, R
3.0, 1.0, 4.0, 2.0, R
3.0, 1.0, 4.0, 5.0, R
3.0, 1.0, 5.0, 1.0, R
3.0, 1.0, 5.0, 2.0, R
3.0, 1.0, 5.0, 3.0, R
3.0, 1.0, 5.0, 4.0, R
3.0, 1.0, 5.0, 5.0, R
3.0, 2.0, 1.0, 1.0, L
3.0, 2.0, 1.0, 2.0, L
3.0, 2.0, 1.0, 3.0, L
3.0, 2.0, 1.0, 4.0, L
3.0, 2.0, 2.0, 1.0, L
3.0, 2.0, 2.0, 3.0, B
3.0, 2.0, 2.0, 5.0, R
3.0, 2.0, 3.0, 3.0, R
3.0, 2.0, 3.0, 5.0, R
3.0, 2.0, 4.0, 2.0, R
3.0, 2.0, 4.0, 3.0, R
3.0, 2.0, 4.0, 4.0, R
3.0, 2.0, 5.0, 1.0, L
3.0, 2.0, 5.0, 3.0, R
3.0, 2.0, 5.0, 4.0, R
3.0, 3.0, 1.0, 1.0, L
3.0, 3.0, 1.0, 4.0, L
3.0, 3.0, 2.0, 1.0, L
3.0, 3.0, 2.0, 2.0, L
3.0, 3.0, 2.0, 5.0, R
3.0, 3.0, 3.0, 3.0, B
3.0, 3.0, 3.0, 5.0, R
3.0, 3.0, 4.0, 1.0, L
3.0, 3.0, 4.0, 4.0, R
3.0, 3.0, 4.0, 5.0, R
3.0, 3.0, 5.0, 1.0, L
3.0, 4.0, 1.0, 2.0, L
3.0, 4.0, 1.0, 3.0, L
3.0, 4.0, 1.0, 4.0, L
3.0, 4.0, 1.0, 5.0, L
3.0, 4.0, 2.0, 1.0, L
3.0, 4.0, 2.0, 2.0, L
3.0, 4.0, 2.0, 3.0, L
3.0, 4.0, 2.0, 4.0, L
3.0, 4.0, 3.0, 1.0, L
3.0, 4.0, 3.0, 3.0, L
3.0, 4.0, 3.0, 4.0, B
3.0, 4.0, 3.0, 5.0, R
3.0, 4.0, 4.0, 1.0, L
3.0, 4.0, 4.0, 2.0, L
3.0, 4.0, 4.0, 5.0, R
3.0, 4.0, 5.0, 1.0, L
3.0, 4.0, 5.0, 2.0, L
3.0, 4.0, 5.0, 3.0, R
3.0, 4.0, 5.0, 4.0, R
3.0, 4.0, 5.0, 5.0, R
3.0, 5.0, 1.0, 1.0, L
3.0, 5.0, 1.0, 3.0, L
3.0, 5.0, 1.0, 5.0, L
3.0, 5.0, 2.0, 1.0, L
3.0, 5.0, 2.0, 2.0, L
3.0, 5.0, 2.0, 3.0, L
3.0, 5.0, 2.0, 4.0, L
3.0, 5.0, 2.0, 5.0, L
3.0, 5.0, 3.0, 1.0, L
3.0, 5.0, 3.0, 2.0, L
3.0, 5.0, 3.0, 3.0, L
3.0, 5.0, 3.0, 4.0, L
3.0, 5.0, 3.0, 5.0, B
3.0, 5.0, 4.0, 1.0, L
3.0, 5.0, 4.0, 3.0, L
3.0, 5.0, 4.0, 4.0, R
3.0, 5.0, 5.0, 2.0, L
3.0, 5.0, 5.0, 4.0, R
4.0, 1.0, 1.0, 1.0, L
4.0, 1.0, 1.0, 3.0, L
4.0, 1.0, 1.0, 5.0, R
4.0, 1.0, 2.0, 2.0, B
4.0, 1.0, 2.0, 4.0, R
4.0, 1.0, 2.0, 5.0, R
4.0, 1.0, 3.0, 2.0, R
4.0, 1.0, 3.0, 3.0, R
4.0, 1.0, 4.0, 2.0, R
4.0, 1.0, 4.0, 3.0, R
4.0, 1.0, 4.0, 4.0, R
4.0, 1.0, 4.0, 5.0, R
4.0, 1.0, 5.0, 2.0, R
4.0, 1.0, 5.0, 3.0, R
4.0, 1.0, 5.0, 4.0, R
4.0, 1.0, 5.0, 5.0, R
4.0, 2.0, 1.0, 1.0, L
4.0, 2.0, 1.0, 2.0, L
4.0, 2.0, 1.0, 3.0, L
4.0, 2.0, 1.0, 4.0, L
4.0, 2.0, 1.0, 5.0, L
4.0, 2.0, 2.0, 1.0, L
4.0, 2.0, 2.0, 2.0, L
4.0, 2.0, 2.0, 3.0, L
4.0, 2.0, 2.0, 4.0, B
4.0, 2.0, 2.0, 5.0, R
4.0, 2.0, 3.0, 1.0, L
4.0, 2.0, 3.0, 2.0, L
4.0, 2.0, 3.0, 3.0, R
4.0, 2.0, 3.0, 4.0, R
4.0, 2.0, 4.0, 1.0, L
4.0, 2.0, 4.0, 2.0, B
4.0, 2.0, 4.0, 4.0, R
4.0, 2.0, 4.0, 5.0, R
4.0, 2.0, 5.0, 1.0, L
4.0, 2.0, 5.0, 3.0, R
4.0, 2.0, 5.0, 4.0, R
4.0, 2.0, 5.0, 5.0, R
4.0, 3.0, 1.0, 1.0, L
4.0, 3.0, 1.0, 2.0, L
4.0, 3.0, 1.0, 3.0, L
4.0, 3.0, 1.0, 4.0, L
4.0, 3.0, 1.0, 5.0, L
4.0, 3.0, 2.0, 3.0, L
4.0, 3.0, 2.0, 4.0, L
4.0, 3.0, 2.0, 5.0, L
4.0, 3.0, 3.0, 3.0, L
4.0, 3.0, 3.0, 4.0, B
4.0, 3.0, 3.0, 5.0, R
4.0, 3.0, 4.0, 1.0, L
4.0, 3.0, 4.0, 2.0, L
4.0, 3.0, 4.0, 3.0, B
4.0, 3.0, 4.0, 4.0, R
4.0, 3.0, 5.0, 1.0, L
4.0, 3.0, 5.0, 2.0, L
4.0, 3.0, 5.0, 3.0, R
4.0, 3.0, 5.0, 4.0, R
4.0, 3.0, 5.0, 5.0, R
4.0, 4.0, 1.0, 3.0, L
4.0, 4.0, 1.0, 4.0, L
4.0, 4.0, 1.0, 5.0, L
4.0, 4.0, 2.0, 2.0, L
4.0, 4.0, 2.0, 4.0, L
4.0, 4.0, 2.0, 5.0, L
4.0, 4.0, 3.0, 1.0, L
4.0, 4.0, 3.0, 4.0, L
4.0, 4.0, 3.0, 5.0, L
4.0, 4.0, 4.0, 2.0, L
4.0, 4.0, 4.0, 3.0, L
4.0, 4.0, 4.0, 5.0, R
4.0, 4.0, 5.0, 1.0, L
4.0, 4.0, 5.0, 2.0, L
4.0, 4.0, 5.0, 3.0, L
4.0, 4.0, 5.0, 4.0, R
4.0, 5.0, 1.0, 1.0, L
4.0, 5.0, 1.0, 2.0, L
4.0, 5.0, 1.0, 3.0, L
4.0, 5.0, 1.0, 4.0, L
4.0, 5.0, 1.0, 5.0, L
4.0, 5.0, 2.0, 1.0, L
4.0, 5.0, 2.0, 2.0, L
4.0, 5.0, 2.0, 3.0, L
4.0, 5.0, 2.0, 4.0, L
4.0, 5.0, 2.0, 5.0, L
4.0, 5.0, 3.0, 1.0, L
4.0, 5.0, 3.0, 4.0, L
4.0, 5.0, 3.0, 5.0, L
4.0, 5.0, 4.0, 1.0, L
4.0, 5.0, 4.0, 2.0, L
4.0, 5.0, 4.0, 3.0, L
4.0, 5.0, 4.0, 4.0, L
4.0, 5.0, 5.0, 1.0, L
4.0, 5.0, 5.0, 3.0, L
4.0, 5.0, 5.0, 4.0, B
4.0, 5.0, 5.0, 5.0, R
5.0, 1.0, 1.0, 1.0, L
5.0, 1.0, 1.0, 2.0, L
5.0, 1.0, 1.0, 4.0, L
5.0, 1.0, 1.0, 5.0, B
5.0, 1.0, 2.0, 1.0, L
5.0, 1.0, 2.0, 2.0, L
5.0, 1.0, 2.0, 4.0, R
5.0, 1.0, 2.0, 5.0, R
5.0, 1.0, 3.0, 1.0, L
5.0, 1.0, 3.0, 2.0, R
5.0, 1.0, 3.0, 3.0, R
5.0, 1.0, 3.0, 4.0, R
5.0, 1.0, 3.0, 5.0, R
5.0, 1.0, 4.0, 2.0, R
5.0, 1.0, 4.0, 3.0, R
5.0, 1.0, 4.0, 4.0, R
5.0, 1.0, 4.0, 5.0, R
5.0, 1.0, 5.0, 2.0, R
5.0, 1.0, 5.0, 3.0, R
5.0, 1.0, 5.0, 4.0, R
5.0, 1.0, 5.0, 5.0, R
5.0, 2.0, 1.0, 1.0, L
5.0, 2.0, 1.0, 2.0, L
5.0, 2.0, 1.0, 3.0, L
5.0, 2.0, 1.0, 4.0, L
5.0, 2.0, 1.0, 5.0, L
5.0, 2.0, 2.0, 2.0, L
5.0, 2.0, 2.0, 3.0, L
5.0, 2.0, 2.0, 4.0, L
5.0, 2.0, 2.0, 5.0, B
5.0, 2.0, 3.0, 1.0, L
5.0, 2.0, 3.0, 2.0, L
5.0, 2.0, 3.0, 3.0, L
5.0, 2.0, 3.0, 4.0, R
5.0, 2.0, 3.0, 5.0, R
5.0, 2.0, 4.0, 1.0, L
5.0, 2.0, 4.0, 3.0, R
5.0, 2.0, 4.0, 4.0, R
5.0, 2.0, 4.0, 5.0, R
5.0, 2.0, 5.0, 1.0, L
5.0, 2.0, 5.0, 2.0, B
5.0, 2.0, 5.0, 4.0, R
5.0, 2.0, 5.0, 5.0, R
5.0, 3.0, 1.0, 1.0, L
5.0, 3.0, 1.0, 2.0, L
5.0, 3.0, 1.0, 5.0, L
5.0, 3.0, 2.0, 1.0, L
5.0, 3.0, 2.0, 2.0, L
5.0, 3.0, 2.0, 3.0, L
5.0, 3.0, 2.0, 4.0, L
5.0, 3.0, 3.0, 1.0, L
5.0, 3.0, 3.0, 5.0, B
5.0, 3.0, 4.0, 2.0, L
5.0, 3.0, 4.0, 4.0, R
5.0, 3.0, 5.0, 2.0, L
5.0, 3.0, 5.0, 3.0, B
5.0, 3.0, 5.0, 4.0, R
5.0, 3.0, 5.0, 5.0, R
5.0, 4.0, 1.0, 1.0, L
5.0, 4.0, 1.0, 2.0, L
5.0, 4.0, 1.0, 3.0, L
5.0, 4.0, 1.0, 4.0, L
5.0, 4.0, 2.0, 1.0, L
5.0, 4.0, 2.0, 3.0, L
5.0, 4.0, 2.0, 5.0, L
5.0, 4.0, 3.0, 5.0, L
5.0, 4.0, 4.0, 2.0, L
5.0, 4.0, 4.0, 3.0, L
5.0, 4.0, 4.0, 4.0, L
5.0, 4.0, 5.0, 1.0, L
5.0, 4.0, 5.0, 2.0, L
5.0, 5.0, 1.0, 2.0, L
5.0, 5.0, 1.0, 4.0, L
5.0, 5.0, 1.0, 5.0, L
5.0, 5.0, 2.0, 2.0, L
5.0, 5.0, 2.0, 4.0, L
5.0, 5.0, 2.0, 5.0, L
5.0, 5.0, 3.0, 1.0, L
5.0, 5.0, 3.0, 3.0, L
5.0, 5.0, 3.0, 5.0, L
5.0, 5.0, 4.0, 1.0, L
5.0, 5.0, 4.0, 2.0, L
5.0, 5.0, 4.0, 3.0, L
5.0, 5.0, 4.0, 4.0, L
5.0, 5.0, 5.0, 1.0, L
5.0, 5.0, 5.0, 2.0, L
5.0, 5.0, 5.0, 5.0, B
1.0, 1.0, 3.0, 2.0, R
1.0, 3.0, 4.0, 4.0, R
1.0, 4.0, 2.0, 1.0, L
1.0, 4.0, 5.0, 3.0, R
1.0, 5.0, 2.0, 3.0, R
1.0, 5.0, 5.0, 2.0, R
1.0, 5.0, 5.0, 5.0, R
2.0, 1.0, 1.0, 3.0, R
2.0, 1.0, 3.0, 3.0, R
2.0, 1.0, 4.0, 2.0, R
2.0, 2.0, 4.0, 2.0, R
2.0, 3.0, 2.0, 1.0, L
2.0, 3.0, 2.0, 3.0, B
2.0, 4.0, 2.0, 2.0, L
2.0, 4.0, 4.0, 3.0, R
2.0, 4.0, 5.0, 2.0, R
2.0, 5.0, 3.0, 5.0, R
2.0, 5.0, 4.0, 4.0, R
3.0, 1.0, 3.0, 5.0, R
3.0, 2.0, 3.0, 1.0, L
3.0, 2.0, 4.0, 1.0, L
3.0, 2.0, 4.0, 5.0, R
3.0, 3.0, 1.0, 2.0, L
3.0, 3.0, 1.0, 5.0, L
3.0, 3.0, 2.0, 4.0, L
3.0, 3.0, 4.0, 2.0, L
3.0, 4.0, 3.0, 2.0, L
3.0, 5.0, 5.0, 3.0, B
4.0, 1.0, 3.0, 5.0, R
4.0, 1.0, 5.0, 1.0, R
4.0, 2.0, 4.0, 3.0, R
4.0, 3.0, 2.0, 2.0, L
4.0, 3.0, 3.0, 1.0, L
4.0, 4.0, 5.0, 5.0, R
4.0, 5.0, 3.0, 3.0, L
4.0, 5.0, 4.0, 5.0, B
4.0, 5.0, 5.0, 2.0, L
5.0, 2.0, 2.0, 1.0, L
5.0, 3.0, 3.0, 2.0, L
5.0, 3.0, 3.0, 4.0, L
5.0, 3.0, 4.0, 1.0, L
5.0, 3.0, 5.0, 1.0, L
5.0, 4.0, 2.0, 4.0, L
5.0, 4.0, 3.0, 1.0, L
5.0, 4.0, 3.0, 4.0, L
5.0, 5.0, 3.0, 4.0, L
1.0, 1.0, 1.0, 2.0, R
1.0, 1.0, 1.0, 3.0, R
1.0, 1.0, 2.0, 5.0, R
1.0, 1.0, 3.0, 4.0, R
1.0, 1.0, 5.0, 1.0, R
1.0, 2.0, 3.0, 1.0, R
1.0, 2.0, 3.0, 3.0, R
1.0, 2.0, 5.0, 1.0, R
1.0, 3.0, 1.0, 5.0, R
1.0, 3.0, 3.0, 2.0, R
1.0, 3.0, 3.0, 4.0, R
1.0, 4.0, 2.0, 5.0, R
1.0, 4.0, 3.0, 3.0, R
1.0, 4.0, 4.0, 3.0, R
1.0, 4.0, 5.0, 2.0, R
1.0, 5.0, 1.0, 4.0, L
1.0, 5.0, 2.0, 5.0, R
1.0, 5.0, 3.0, 1.0, L
1.0, 5.0, 4.0, 1.0, L
1.0, 5.0, 5.0, 4.0, R
2.0, 1.0, 1.0, 4.0, R
2.0, 1.0, 1.0, 5.0, R
2.0, 1.0, 3.0, 4.0, R
2.0, 1.0, 4.0, 5.0, R
2.0, 1.0, 5.0, 2.0, R
2.0, 2.0, 2.0, 2.0, B
2.0, 2.0, 3.0, 1.0, L
2.0, 3.0, 2.0, 2.0, L
2.0, 3.0, 4.0, 4.0, R
2.0, 3.0, 5.0, 3.0, R
2.0, 3.0, 5.0, 5.0, R
2.0, 4.0, 2.0, 3.0, L
2.0, 4.0, 3.0, 3.0, R
2.0, 4.0, 3.0, 4.0, R
2.0, 5.0, 1.0, 1.0, L
2.0, 5.0, 1.0, 2.0, L
2.0, 5.0, 1.0, 5.0, L
2.0, 5.0, 4.0, 1.0, L
2.0, 5.0, 5.0, 4.0, R
3.0, 1.0, 1.0, 1.0, L
3.0, 1.0, 2.0, 2.0, R
3.0, 1.0, 4.0, 3.0, R
3.0, 2.0, 1.0, 5.0, L
3.0, 2.0, 2.0, 2.0, L
3.0, 2.0, 2.0, 4.0, R
3.0, 2.0, 3.0, 2.0, B
3.0, 2.0, 5.0, 2.0, R
3.0, 2.0, 5.0, 5.0, R
3.0, 3.0, 3.0, 1.0, L
3.0, 3.0, 3.0, 2.0, L
3.0, 3.0, 3.0, 4.0, R
3.0, 3.0, 4.0, 3.0, R
3.0, 3.0, 5.0, 2.0, R
3.0, 3.0, 5.0, 3.0, R
3.0, 3.0, 5.0, 5.0, R
3.0, 4.0, 1.0, 1.0, L
3.0, 4.0, 2.0, 5.0, L
3.0, 4.0, 4.0, 3.0, B
3.0, 4.0, 4.0, 4.0, R
3.0, 5.0, 1.0, 2.0, L
3.0, 5.0, 1.0, 4.0, L
3.0, 5.0, 4.0, 2.0, L
3.0, 5.0, 4.0, 5.0, R
3.0, 5.0, 5.0, 1.0, L
3.0, 5.0, 5.0, 5.0, R
4.0, 1.0, 1.0, 2.0, L
4.0, 1.0, 1.0, 4.0, B
4.0, 1.0, 3.0, 1.0, L
4.0, 1.0, 4.0, 1.0, B
4.0, 2.0, 3.0, 5.0, R
4.0, 2.0, 5.0, 2.0, R
4.0, 3.0, 3.0, 2.0, L
4.0, 3.0, 4.0, 5.0, R
4.0, 4.0, 1.0, 1.0, L
4.0, 4.0, 1.0, 2.0, L
4.0, 4.0, 2.0, 1.0, L
4.0, 4.0, 2.0, 3.0, L
4.0, 4.0, 3.0, 3.0, L
4.0, 4.0, 4.0, 1.0, L
4.0, 5.0, 3.0, 2.0, L
5.0, 1.0, 1.0, 3.0, L
5.0, 1.0, 2.0, 3.0, R
5.0, 1.0, 4.0, 1.0, L
5.0, 1.0, 5.0, 1.0, B
5.0, 2.0, 4.0, 2.0, L
5.0, 2.0, 5.0, 3.0, R
5.0, 3.0, 1.0, 3.0, L
5.0, 3.0, 1.0, 4.0, L
5.0, 3.0, 2.0, 5.0, L
5.0, 3.0, 3.0, 3.0, L
5.0, 3.0, 4.0, 3.0, L
5.0, 3.0, 4.0, 5.0, R
5.0, 4.0, 1.0, 5.0, L
5.0, 4.0, 2.0, 2.0, L
5.0, 4.0, 3.0, 2.0, L
5.0, 4.0, 3.0, 3.0, L
5.0, 4.0, 4.0, 1.0, L
5.0, 4.0, 4.0, 5.0, B
5.0, 4.0, 5.0, 3.0, L
5.0, 4.0, 5.0, 4.0, B
5.0, 4.0, 5.0, 5.0, R
5.0, 5.0, 1.0, 1.0, L
5.0, 5.0, 1.0, 3.0, L
5.0, 5.0, 2.0, 1.0, L
5.0, 5.0, 2.0, 3.0, L
5.0, 5.0, 3.0, 2.0, L
5.0, 5.0, 4.0, 5.0, L
5.0, 5.0, 5.0, 4.0, L
1.0, 3.0, 3.0, 3.0, R
1.0, 4.0, 5.0, 1.0, R
1.0, 5.0, 4.0, 3.0, R
2.0, 5.0, 3.0, 4.0, R
3.0, 1.0, 3.0, 1.0, B
3.0, 1.0, 4.0, 4.0, R
3.0, 2.0, 3.0, 4.0, R
3.0, 3.0, 1.0, 3.0, L
3.0, 3.0, 2.0, 3.0, L
3.0, 3.0, 5.0, 4.0, R
4.0, 1.0, 2.0, 1.0, L
4.0, 1.0, 2.0, 3.0, R
4.0, 1.0, 3.0, 4.0, R
4.0, 3.0, 2.0, 1.0, L
4.0, 4.0, 3.0, 2.0, L
4.0, 4.0, 4.0, 4.0, B
5.0, 5.0, 5.0, 3.0, L
