@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
8.0, 88.0, 704.0, 11.0, 0.195, 0.756, 1.49, 137.0, 532.0, 92.0, 1
6.0, 129.0, 774.0, 21.5, 0.195, 0.565, 1.35, 151.0, 437.0, 112.0, 1
7.0, 4.0, 28.0, 0.571, 0.357, 0.571, 5.0, 10.0, 16.0, 2.0, 1
1.0, 106.0, 106.0, 106.0, 0.858, 1.0, 15.17, 91.0, 106.0, 6.0, 2
9.0, 16.0, 144.0, 1.778, 0.16, 0.5, 1.92, 23.0, 72.0, 12.0, 1
6.0, 41.0, 246.0, 6.833, 0.232, 0.927, 1.3, 57.0, 228.0, 44.0, 1
7.0, 17.0, 119.0, 2.429, 0.395, 0.782, 1.81, 47.0, 93.0, 26.0, 1
7.0, 33.0, 231.0, 4.714, 0.342, 0.848, 1.98, 79.0, 196.0, 40.0, 1
7.0, 37.0, 259.0, 5.286, 0.305, 1.0, 1.46, 79.0, 259.0, 54.0, 1
9.0, 22.0, 198.0, 2.444, 0.227, 0.934, 1.61, 45.0, 185.0, 28.0, 1
7.0, 43.0, 301.0, 6.143, 0.249, 0.807, 1.29, 75.0, 243.0, 58.0, 1
9.0, 30.0, 270.0, 3.333, 0.27, 0.796, 1.4, 73.0, 215.0, 52.0, 1
7.0, 11.0, 77.0, 1.571, 0.286, 0.909, 1.29, 22.0, 70.0, 17.0, 1
6.0, 28.0, 168.0, 4.667, 0.369, 0.78, 1.77, 62.0, 131.0, 35.0, 1
5.0, 7.0, 35.0, 1.4, 0.543, 1.0, 2.11, 19.0, 35.0, 9.0, 1
6.0, 11.0, 66.0, 1.833, 0.333, 0.788, 1.47, 22.0, 52.0, 15.0, 1
7.0, 37.0, 259.0, 5.286, 0.282, 0.772, 1.35, 73.0, 200.0, 54.0, 1
7.0, 10.0, 70.0, 1.429, 0.314, 1.0, 1.29, 22.0, 70.0, 17.0, 1
8.0, 10.0, 80.0, 1.25, 0.45, 0.988, 1.71, 36.0, 79.0, 21.0, 1
8.0, 25.0, 200.0, 3.125, 0.385, 0.615, 2.75, 77.0, 123.0, 28.0, 1
6.0, 6.0, 36.0, 1.0, 0.528, 0.917, 3.17, 19.0, 33.0, 6.0, 1
9.0, 25.0, 225.0, 2.778, 0.32, 0.707, 2.25, 72.0, 159.0, 32.0, 1
8.0, 25.0, 200.0, 3.125, 0.515, 0.815, 2.64, 103.0, 163.0, 39.0, 1
8.0, 7.0, 56.0, 0.875, 0.429, 1.0, 2.18, 24.0, 56.0, 11.0, 1
11.0, 15.0, 165.0, 1.364, 0.352, 0.891, 2.07, 58.0, 147.0, 28.0, 1
8.0, 13.0, 104.0, 1.625, 0.413, 1.0, 1.95, 43.0, 104.0, 22.0, 1
10.0, 7.0, 70.0, 0.7, 0.357, 0.871, 2.08, 25.0, 61.0, 12.0, 1
10.0, 150.0, 1500.0, 15.0, 0.252, 0.585, 2.07, 378.0, 878.0, 183.0, 1
9.0, 14.0, 126.0, 1.556, 0.278, 1.0, 2.06, 35.0, 126.0, 17.0, 1
7.0, 20.0, 140.0, 2.857, 0.421, 0.829, 2.46, 59.0, 116.0, 24.0, 1
6.0, 9.0, 54.0, 1.5, 0.37, 0.722, 2.0, 20.0, 39.0, 10.0, 1
8.0, 32.0, 256.0, 4.0, 0.375, 0.801, 2.04, 96.0, 205.0, 47.0, 1
8.0, 40.0, 320.0, 5.0, 0.35, 0.906, 1.81, 112.0, 290.0, 62.0, 1
10.0, 57.0, 570.0, 5.7, 0.326, 0.695, 1.98, 186.0, 396.0, 94.0, 1
8.0, 9.0, 72.0, 1.125, 0.361, 0.819, 1.73, 26.0, 59.0, 15.0, 1
8.0, 30.0, 240.0, 3.75, 0.296, 0.863, 2.09, 71.0, 207.0, 34.0, 1
8.0, 18.0, 144.0, 2.25, 0.438, 0.979, 2.74, 63.0, 141.0, 23.0, 1
8.0, 15.0, 120.0, 1.875, 0.425, 0.925, 1.96, 51.0, 111.0, 26.0, 1
10.0, 78.0, 780.0, 7.8, 0.255, 0.751, 1.76, 199.0, 586.0, 113.0, 1
7.0, 36.0, 252.0, 5.143, 0.409, 0.861, 1.84, 103.0, 217.0, 56.0, 1
9.0, 73.0, 657.0, 8.111, 0.376, 0.846, 2.63, 247.0, 556.0, 94.0, 1
10.0, 184.0, 1840.0, 18.4, 0.325, 0.626, 2.58, 598.0, 1152.0, 232.0, 1
2.0, 19.0, 38.0, 9.5, 0.184, 0.789, 1.4, 7.0, 30.0, 5.0, 1
8.0, 109.0, 872.0, 13.625, 0.109, 0.508, 1.25, 95.0, 443.0, 76.0, 1
9.0, 107.0, 963.0, 11.889, 0.357, 0.693, 2.44, 344.0, 667.0, 141.0, 1
10.0, 535.0, 5350.0, 53.5, 0.113, 0.458, 1.36, 606.0, 2448.0, 447.0, 1
7.0, 101.0, 707.0, 14.429, 0.501, 0.973, 3.19, 354.0, 688.0, 111.0, 1
8.0, 215.0, 1720.0, 26.875, 0.404, 0.789, 2.91, 695.0, 1357.0, 239.0, 1
13.0, 138.0, 1794.0, 10.615, 0.232, 0.697, 3.86, 417.0, 1251.0, 108.0, 1
8.0, 15.0, 120.0, 1.875, 0.292, 0.808, 1.84, 35.0, 97.0, 19.0, 1
7.0, 100.0, 700.0, 14.286, 0.279, 0.98, 1.63, 195.0, 686.0, 120.0, 1
14.0, 58.0, 812.0, 4.143, 0.683, 0.927, 12.07, 555.0, 753.0, 46.0, 1
9.0, 310.0, 2790.0, 34.444, 0.17, 0.792, 1.27, 475.0, 2211.0, 375.0, 1
7.0, 112.0, 784.0, 16.0, 0.168, 0.667, 1.25, 132.0, 523.0, 106.0, 1
14.0, 5.0, 70.0, 0.357, 0.443, 0.514, 6.2, 31.0, 36.0, 5.0, 1
37.0, 1.0, 37.0, 0.027, 1.0, 1.0, 37.0, 37.0, 37.0, 1.0, 2
31.0, 1.0, 31.0, 0.032, 1.0, 1.0, 31.0, 31.0, 31.0, 1.0, 4
8.0, 155.0, 1240.0, 19.375, 0.452, 0.882, 2.78, 561.0, 1094.0, 202.0, 1
1.0, 28.0, 28.0, 28.0, 0.536, 1.0, 3.0, 15.0, 28.0, 5.0, 2
12.0, 332.0, 3984.0, 27.667, 0.402, 0.659, 4.5, 1602.0, 2626.0, 356.0, 1
11.0, 161.0, 1771.0, 14.636, 0.333, 0.65, 2.71, 589.0, 1152.0, 217.0, 1
187.0, 141.0, 26367.0, 0.754, 0.415, 0.884, 4.69, 10947.0, 23301.0, 2333.0, 3
9.0, 168.0, 1512.0, 18.667, 0.268, 0.661, 1.89, 405.0, 1000.0, 214.0, 1
9.0, 161.0, 1449.0, 17.889, 0.273, 0.521, 2.41, 396.0, 755.0, 164.0, 1
9.0, 92.0, 828.0, 10.222, 0.287, 0.694, 1.93, 238.0, 575.0, 123.0, 1
17.0, 11.0, 187.0, 0.647, 0.326, 0.433, 10.17, 61.0, 81.0, 6.0, 1
5.0, 118.0, 590.0, 23.6, 0.154, 0.497, 1.44, 91.0, 293.0, 63.0, 1
197.0, 198.0, 39006.0, 1.005, 0.273, 0.332, 46.93, 10654.0, 12964.0, 227.0, 5
9.0, 58.0, 522.0, 6.444, 0.351, 0.669, 2.29, 183.0, 349.0, 80.0, 1
4.0, 93.0, 372.0, 23.25, 0.312, 0.763, 1.66, 116.0, 284.0, 70.0, 1
5.0, 96.0, 480.0, 19.2, 0.404, 0.817, 2.77, 194.0, 392.0, 70.0, 1
5.0, 20.0, 100.0, 4.0, 0.17, 0.48, 1.55, 17.0, 48.0, 11.0, 1
8.0, 24.0, 192.0, 3.0, 0.203, 0.568, 1.7, 39.0, 109.0, 23.0, 1
71.0, 34.0, 2414.0, 0.479, 0.094, 0.273, 1.91, 227.0, 659.0, 119.0, 1
1.0, 85.0, 85.0, 85.0, 0.882, 1.0, 12.5, 75.0, 85.0, 6.0, 2
11.0, 357.0, 3927.0, 32.455, 0.215, 0.823, 1.55, 845.0, 3232.0, 546.0, 1
7.0, 57.0, 399.0, 8.143, 0.321, 0.952, 1.47, 128.0, 380.0, 87.0, 1
9.0, 1.0, 9.0, 0.111, 1.0, 1.0, 9.0, 9.0, 9.0, 1.0, 4
10.0, 165.0, 1650.0, 16.5, 0.258, 0.695, 1.65, 426.0, 1147.0, 258.0, 1
11.0, 119.0, 1309.0, 10.818, 0.268, 0.678, 1.72, 351.0, 887.0, 204.0, 1
1.0, 20.0, 20.0, 20.0, 0.85, 1.0, 8.5, 17.0, 20.0, 2.0, 2
