@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
7.0, 18.0, 126.0, 2.571, 0.365, 0.952, 1.53, 46.0, 120.0, 30.0, 1
7.0, 32.0, 224.0, 4.571, 0.268, 0.83, 1.28, 60.0, 186.0, 47.0, 1
7.0, 27.0, 189.0, 3.857, 0.286, 1.0, 1.32, 54.0, 189.0, 41.0, 1
7.0, 24.0, 168.0, 3.429, 0.244, 0.774, 1.46, 41.0, 130.0, 28.0, 1
6.0, 10.0, 60.0, 1.667, 0.317, 0.85, 1.19, 19.0, 51.0, 16.0, 1
7.0, 11.0, 77.0, 1.571, 0.299, 0.649, 1.77, 23.0, 50.0, 13.0, 1
9.0, 26.0, 234.0, 2.889, 0.291, 0.795, 1.74, 68.0, 186.0, 39.0, 1
7.0, 44.0, 308.0, 6.286, 0.169, 0.455, 1.58, 52.0, 140.0, 33.0, 1
6.0, 19.0, 114.0, 3.167, 0.289, 0.789, 1.38, 33.0, 90.0, 24.0, 1
9.0, 48.0, 432.0, 5.333, 0.257, 0.738, 1.41, 111.0, 319.0, 79.0, 1
8.0, 32.0, 256.0, 4.0, 0.207, 0.797, 1.23, 53.0, 204.0, 43.0, 1
9.0, 42.0, 378.0, 4.667, 0.235, 0.603, 1.37, 89.0, 228.0, 65.0, 1
7.0, 23.0, 161.0, 3.286, 0.447, 1.0, 1.95, 72.0, 161.0, 37.0, 1
8.0, 10.0, 80.0, 1.25, 0.288, 0.813, 1.64, 23.0, 65.0, 14.0, 1
53.0, 48.0, 2544.0, 0.906, 0.157, 0.269, 7.84, 400.0, 685.0, 51.0, 5
8.0, 28.0, 224.0, 3.5, 0.411, 0.996, 1.92, 92.0, 223.0, 48.0, 1
9.0, 16.0, 144.0, 1.778, 0.382, 0.743, 2.29, 55.0, 107.0, 24.0, 1
10.0, 25.0, 250.0, 2.5, 0.392, 0.808, 2.51, 98.0, 202.0, 39.0, 1
9.0, 26.0, 234.0, 2.889, 0.342, 0.821, 2.35, 80.0, 192.0, 34.0, 1
9.0, 12.0, 108.0, 1.333, 0.491, 0.889, 2.41, 53.0, 96.0, 22.0, 1
8.0, 15.0, 120.0, 1.875, 0.433, 0.625, 2.74, 52.0, 75.0, 19.0, 1
10.0, 25.0, 250.0, 2.5, 0.328, 0.828, 2.05, 82.0, 207.0, 40.0, 1
10.0, 16.0, 160.0, 1.6, 0.375, 0.769, 2.14, 60.0, 123.0, 28.0, 1
5.0, 7.0, 35.0, 1.4, 0.457, 1.0, 1.45, 16.0, 35.0, 11.0, 1
9.0, 42.0, 378.0, 4.667, 0.312, 0.889, 1.97, 118.0, 336.0, 60.0, 1
9.0, 40.0, 360.0, 4.444, 0.344, 0.683, 2.07, 124.0, 246.0, 60.0, 1
8.0, 45.0, 360.0, 5.625, 0.297, 0.564, 1.88, 107.0, 203.0, 57.0, 1
7.0, 41.0, 287.0, 5.857, 0.355, 0.857, 1.85, 102.0, 246.0, 55.0, 1
8.0, 13.0, 104.0, 1.625, 0.356, 0.942, 1.76, 37.0, 98.0, 21.0, 1
11.0, 261.0, 2871.0, 23.727, 0.251, 0.661, 2.0, 722.0, 1898.0, 361.0, 1
8.0, 50.0, 400.0, 6.25, 0.378, 0.915, 1.7, 151.0, 366.0, 89.0, 1
8.0, 33.0, 264.0, 4.125, 0.436, 0.886, 1.89, 115.0, 234.0, 61.0, 1
8.0, 7.0, 56.0, 0.875, 0.518, 1.0, 2.64, 29.0, 56.0, 11.0, 1
11.0, 261.0, 2871.0, 23.727, 0.231, 0.596, 1.87, 662.0, 1711.0, 354.0, 1
6.0, 4.0, 24.0, 0.667, 0.5, 0.75, 6.0, 12.0, 18.0, 2.0, 1
10.0, 45.0, 450.0, 4.5, 0.296, 0.584, 2.05, 133.0, 263.0, 65.0, 1
10.0, 25.0, 250.0, 2.5, 0.332, 0.772, 1.89, 83.0, 193.0, 44.0, 1
13.0, 226.0, 2938.0, 17.385, 0.258, 0.971, 3.12, 759.0, 2852.0, 243.0, 1
1.0, 277.0, 277.0, 277.0, 1.0, 1.0, 277.0, 277.0, 277.0, 1.0, 2
32.0, 350.0, 11200.0, 10.938, 0.142, 0.402, 3.96, 1588.0, 4497.0, 401.0, 5
5.0, 75.0, 375.0, 15.0, 0.269, 0.979, 1.22, 101.0, 367.0, 83.0, 1
8.0, 101.0, 808.0, 12.625, 0.29, 0.978, 1.71, 234.0, 790.0, 137.0, 1
10.0, 511.0, 5110.0, 51.1, 0.141, 0.542, 1.36, 721.0, 2772.0, 532.0, 1
9.0, 284.0, 2556.0, 31.556, 0.137, 0.456, 1.41, 350.0, 1165.0, 249.0, 1
7.0, 143.0, 1001.0, 20.429, 0.105, 0.526, 1.28, 105.0, 527.0, 82.0, 1
6.0, 13.0, 78.0, 2.167, 0.359, 1.0, 1.87, 28.0, 78.0, 15.0, 1
9.0, 186.0, 1674.0, 20.667, 0.16, 0.814, 1.26, 268.0, 1363.0, 213.0, 1
25.0, 292.0, 7300.0, 11.68, 0.45, 0.914, 7.23, 3283.0, 6670.0, 454.0, 1
1.0, 22.0, 22.0, 22.0, 0.818, 1.0, 4.5, 18.0, 22.0, 4.0, 2
24.0, 125.0, 3000.0, 5.208, 0.915, 0.959, 21.29, 2746.0, 2877.0, 129.0, 1
14.0, 371.0, 5194.0, 26.5, 0.38, 0.59, 4.85, 1975.0, 3066.0, 407.0, 1
26.0, 170.0, 4420.0, 6.538, 0.188, 0.909, 1.54, 833.0, 4017.0, 542.0, 1
20.0, 1.0, 20.0, 0.05, 1.0, 1.0, 20.0, 20.0, 20.0, 1.0, 4
16.0, 344.0, 5504.0, 21.5, 0.385, 0.662, 5.2, 2121.0, 3643.0, 408.0, 1
3.0, 4.0, 12.0, 1.333, 0.917, 0.917, 11.0, 11.0, 11.0, 1.0, 1
23.0, 125.0, 2875.0, 5.435, 0.953, 1.0, 20.75, 2739.0, 2875.0, 132.0, 1
77.0, 257.0, 19789.0, 3.338, 0.465, 0.49, 72.47, 9204.0, 9689.0, 127.0, 1
4.0, 18.0, 72.0, 4.5, 0.181, 0.778, 6.5, 13.0, 56.0, 2.0, 1
18.0, 22.0, 396.0, 1.222, 0.366, 0.513, 14.5, 145.0, 203.0, 10.0, 1
5.0, 92.0, 460.0, 18.4, 0.287, 0.604, 1.38, 132.0, 278.0, 96.0, 1
5.0, 96.0, 480.0, 19.2, 0.342, 0.738, 2.13, 164.0, 354.0, 77.0, 1
6.0, 39.0, 234.0, 6.5, 0.342, 0.936, 2.05, 80.0, 219.0, 39.0, 1
1.0, 40.0, 40.0, 40.0, 0.4, 1.0, 1.07, 16.0, 40.0, 15.0, 1
8.0, 22.0, 176.0, 2.75, 0.438, 0.79, 2.41, 77.0, 139.0, 32.0, 1
7.0, 18.0, 126.0, 2.571, 0.262, 0.873, 1.94, 33.0, 110.0, 17.0, 1
5.0, 6.0, 30.0, 1.2, 0.433, 1.0, 1.63, 13.0, 30.0, 8.0, 1
9.0, 128.0, 1152.0, 14.222, 0.219, 0.745, 1.44, 252.0, 858.0, 175.0, 1
7.0, 9.0, 63.0, 1.286, 0.349, 0.889, 2.2, 22.0, 56.0, 10.0, 1
7.0, 42.0, 294.0, 6.0, 0.262, 0.738, 1.79, 77.0, 217.0, 43.0, 1
7.0, 346.0, 2422.0, 49.429, 0.159, 0.749, 1.17, 386.0, 1813.0, 329.0, 1
28.0, 82.0, 2296.0, 2.929, 0.271, 0.39, 8.9, 623.0, 895.0, 70.0, 1
1.0, 87.0, 87.0, 87.0, 0.92, 1.0, 16.0, 80.0, 87.0, 5.0, 2
1.0, 279.0, 279.0, 279.0, 0.964, 1.0, 38.43, 269.0, 279.0, 7.0, 2
