@relation unknow
@attribute height real [1.0, 804.0]
@attribute lenght real [1.0, 553.0]
@attribute area real [7.0, 143993.0]
@attribute eccen real [0.0070, 537.0]
@attribute p_black real [0.052, 1.0]
@attribute p_and real [0.062, 1.0]
@attribute mean_tr real [1.0, 4955.0]
@attribute blackpix real [1.0, 33017.0]
@attribute blackand real [7.0, 46133.0]
@attribute wb_trans real [1.0, 3212.0]
@attribute class {1, 2, 4, 5, 3}
@inputs height, lenght, area, eccen, p_black, p_and, mean_tr, blackpix, blackand, wb_trans
@outputs class
@data
7.0, 19.0, 133.0, 2.714, 0.338, 0.827, 1.67, 45.0, 110.0, 27.0, 1
9.0, 42.0, 378.0, 4.667, 0.198, 0.563, 1.15, 75.0, 213.0, 65.0, 1
7.0, 7.0, 49.0, 1.0, 0.306, 0.592, 2.14, 15.0, 29.0, 7.0, 1
8.0, 19.0, 152.0, 2.375, 0.382, 0.724, 1.93, 58.0, 110.0, 30.0, 1
8.0, 12.0, 96.0, 1.5, 0.406, 0.885, 2.17, 39.0, 85.0, 18.0, 1
8.0, 19.0, 152.0, 2.375, 0.401, 0.98, 1.97, 61.0, 149.0, 31.0, 1
10.0, 17.0, 170.0, 1.7, 0.382, 1.0, 2.41, 65.0, 170.0, 27.0, 1
17.0, 9.0, 153.0, 0.529, 0.209, 0.497, 1.88, 32.0, 76.0, 17.0, 5
11.0, 11.0, 121.0, 1.0, 0.388, 0.818, 2.24, 47.0, 99.0, 21.0, 1
10.0, 9.0, 90.0, 0.9, 0.344, 0.889, 2.82, 31.0, 80.0, 11.0, 1
8.0, 12.0, 96.0, 1.5, 0.427, 0.927, 2.05, 41.0, 89.0, 20.0, 1
8.0, 7.0, 56.0, 0.875, 0.411, 0.875, 2.09, 23.0, 49.0, 11.0, 1
11.0, 245.0, 2695.0, 22.273, 0.252, 0.829, 1.86, 678.0, 2235.0, 365.0, 1
10.0, 32.0, 320.0, 3.2, 0.338, 0.816, 1.83, 108.0, 261.0, 59.0, 1
8.0, 28.0, 224.0, 3.5, 0.406, 0.777, 2.07, 91.0, 174.0, 44.0, 1
10.0, 19.0, 190.0, 1.9, 0.3, 0.905, 1.68, 57.0, 172.0, 34.0, 1
10.0, 32.0, 320.0, 3.2, 0.306, 0.788, 1.69, 98.0, 252.0, 58.0, 1
7.0, 7.0, 49.0, 1.0, 0.592, 0.959, 2.42, 29.0, 47.0, 12.0, 1
10.0, 23.0, 230.0, 2.3, 0.27, 0.648, 2.0, 62.0, 149.0, 31.0, 1
4.0, 10.0, 40.0, 2.5, 0.6, 0.8, 4.0, 24.0, 32.0, 6.0, 1
10.0, 145.0, 1450.0, 14.5, 0.268, 0.747, 1.83, 389.0, 1083.0, 213.0, 1
7.0, 20.0, 140.0, 2.857, 0.457, 0.857, 2.46, 64.0, 120.0, 26.0, 1
5.0, 2.0, 10.0, 0.4, 0.7, 0.7, 7.0, 7.0, 7.0, 1.0, 1
6.0, 26.0, 156.0, 4.333, 0.519, 0.955, 2.25, 81.0, 149.0, 36.0, 1
11.0, 64.0, 704.0, 5.818, 0.25, 0.597, 2.0, 176.0, 420.0, 88.0, 1
7.0, 5.0, 35.0, 0.714, 0.486, 0.943, 4.25, 17.0, 33.0, 4.0, 1
8.0, 6.0, 48.0, 0.75, 0.375, 0.896, 1.8, 18.0, 43.0, 10.0, 1
7.0, 20.0, 140.0, 2.857, 0.464, 1.0, 2.24, 65.0, 140.0, 29.0, 1
6.0, 10.0, 60.0, 1.667, 0.483, 0.933, 2.07, 29.0, 56.0, 14.0, 1
9.0, 42.0, 378.0, 4.667, 0.325, 0.823, 1.71, 123.0, 311.0, 72.0, 1
8.0, 38.0, 304.0, 4.75, 0.339, 0.766, 1.75, 103.0, 233.0, 59.0, 1
7.0, 31.0, 217.0, 4.429, 0.396, 0.862, 2.1, 86.0, 187.0, 41.0, 1
11.0, 112.0, 1232.0, 10.182, 0.217, 0.469, 1.73, 267.0, 578.0, 154.0, 1
8.0, 150.0, 1200.0, 18.75, 0.158, 0.594, 1.23, 189.0, 713.0, 154.0, 1
6.0, 81.0, 486.0, 13.5, 0.282, 0.957, 1.34, 137.0, 465.0, 102.0, 1
8.0, 196.0, 1568.0, 24.5, 0.142, 0.644, 1.4, 222.0, 1010.0, 159.0, 1
9.0, 535.0, 4815.0, 59.444, 0.146, 0.634, 1.32, 704.0, 3052.0, 534.0, 1
8.0, 69.0, 552.0, 8.625, 0.234, 0.683, 1.54, 129.0, 377.0, 84.0, 1
9.0, 250.0, 2250.0, 27.778, 0.305, 0.711, 2.18, 686.0, 1600.0, 314.0, 1
8.0, 86.0, 688.0, 10.75, 0.494, 0.945, 2.64, 340.0, 650.0, 129.0, 1
9.0, 84.0, 756.0, 9.333, 0.329, 0.632, 2.08, 249.0, 478.0, 120.0, 1
7.0, 218.0, 1526.0, 31.143, 0.142, 0.623, 1.26, 216.0, 951.0, 171.0, 1
13.0, 38.0, 494.0, 2.923, 0.334, 0.937, 3.93, 165.0, 463.0, 42.0, 1
8.0, 100.0, 800.0, 12.5, 0.245, 0.863, 1.58, 196.0, 690.0, 124.0, 1
2.0, 538.0, 1076.0, 269.0, 0.518, 0.596, 29.32, 557.0, 641.0, 19.0, 2
9.0, 492.0, 4428.0, 54.667, 0.209, 0.781, 1.33, 924.0, 3457.0, 697.0, 1
9.0, 488.0, 4392.0, 54.222, 0.074, 0.343, 1.28, 326.0, 1508.0, 254.0, 1
6.0, 13.0, 78.0, 2.167, 0.295, 1.0, 1.53, 23.0, 78.0, 15.0, 1
3.0, 500.0, 1500.0, 166.67, 0.373, 0.421, 19.28, 559.0, 632.0, 29.0, 2
9.0, 102.0, 918.0, 11.333, 0.18, 0.759, 1.2, 165.0, 697.0, 137.0, 1
53.0, 1.0, 53.0, 0.019, 1.0, 1.0, 53.0, 53.0, 53.0, 1.0, 4
10.0, 48.0, 480.0, 4.8, 0.579, 0.706, 6.04, 278.0, 339.0, 46.0, 1
1.0, 11.0, 11.0, 11.0, 0.909, 1.0, 10.0, 10.0, 11.0, 1.0, 2
1.0, 29.0, 29.0, 29.0, 0.931, 1.0, 13.5, 27.0, 29.0, 2.0, 2
9.0, 17.0, 153.0, 1.889, 0.608, 0.856, 7.15, 93.0, 131.0, 13.0, 1
11.0, 62.0, 682.0, 5.636, 0.353, 0.78, 3.21, 241.0, 532.0, 75.0, 1
9.0, 140.0, 1260.0, 15.556, 0.38, 0.756, 2.71, 479.0, 953.0, 177.0, 1
166.0, 472.0, 78352.0, 2.843, 0.359, 0.547, 17.12, 28093.0, 42821.0, 1641.0, 3
11.0, 24.0, 264.0, 2.182, 0.53, 0.727, 10.0, 140.0, 192.0, 14.0, 1
16.0, 205.0, 3280.0, 12.813, 0.401, 0.799, 5.36, 1314.0, 2622.0, 245.0, 1
12.0, 22.0, 264.0, 1.833, 0.542, 0.784, 8.94, 143.0, 207.0, 16.0, 1
11.0, 302.0, 3322.0, 27.455, 0.379, 0.804, 2.81, 1260.0, 2670.0, 448.0, 1
4.0, 17.0, 68.0, 4.25, 0.191, 0.647, 1.86, 13.0, 44.0, 7.0, 1
10.0, 330.0, 3300.0, 33.0, 0.207, 0.671, 1.61, 684.0, 2215.0, 425.0, 1
10.0, 288.0, 2880.0, 28.8, 0.191, 0.564, 1.5, 549.0, 1624.0, 365.0, 1
7.0, 26.0, 182.0, 3.714, 0.302, 0.863, 1.9, 55.0, 157.0, 29.0, 1
105.0, 2.0, 210.0, 0.019, 0.529, 0.533, 111.0, 111.0, 112.0, 1.0, 4
6.0, 263.0, 1578.0, 43.833, 0.124, 0.66, 1.11, 196.0, 1041.0, 177.0, 1
7.0, 343.0, 2401.0, 49.0, 0.213, 0.772, 1.45, 512.0, 1854.0, 352.0, 1
14.0, 155.0, 2170.0, 11.071, 0.303, 0.639, 2.76, 658.0, 1386.0, 238.0, 1
