@relation unknow
@attribute mcg real [0.11, 1.0]
@attribute gvh real [0.13, 1.0]
@attribute alm real [0.21, 1.0]
@attribute mit real [0.0, 1.0]
@attribute erl real [0.5, 1.0]
@attribute pox real [0.0, 0.83]
@attribute vac real [0.0, 0.73]
@attribute nuc real [0.0, 1.0]
@attribute class {MIT, NUC, CYT, ME1, ME2, ME3, EXC, VAC, POX, ERL}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs class
@data
0.71, 0.59, 0.53, 0.15, 0.5, 0.0, 0.49, 0.33, CYT
0.33, 0.44, 0.49, 0.08, 0.5, 0.0, 0.48, 0.49, NUC
0.46, 0.48, 0.44, 0.21, 0.5, 0.0, 0.55, 0.22, POX
0.35, 0.36, 0.57, 0.17, 0.5, 0.0, 0.52, 0.22, CYT
0.91, 0.77, 0.34, 0.47, 0.5, 0.0, 0.52, 0.31, ME1
0.69, 0.6, 0.5, 0.31, 0.5, 0.0, 0.55, 0.22, CYT
0.62, 0.58, 0.52, 0.15, 0.5, 0.0, 0.52, 0.29, CYT
0.56, 0.59, 0.53, 0.16, 0.5, 0.0, 0.24, 0.42, NUC
0.49, 0.46, 0.34, 0.21, 0.5, 0.0, 0.55, 0.22, ME3
0.35, 0.68, 0.57, 0.4, 0.5, 0.0, 0.53, 0.36, NUC
0.23, 0.3, 0.58, 0.22, 0.5, 0.0, 0.48, 0.27, NUC
0.45, 0.56, 0.49, 0.17, 0.5, 0.0, 0.52, 0.22, CYT
0.43, 0.51, 0.54, 0.15, 0.5, 0.0, 0.45, 0.26, NUC
0.38, 0.47, 0.53, 0.12, 0.5, 0.0, 0.48, 0.22, CYT
0.58, 0.45, 0.48, 0.24, 0.5, 0.0, 0.52, 0.37, CYT
0.58, 0.41, 0.51, 0.26, 0.5, 0.0, 0.51, 0.37, CYT
0.41, 0.6, 0.53, 0.29, 0.5, 0.0, 0.47, 0.43, NUC
0.6, 0.48, 0.44, 0.52, 0.5, 0.0, 0.54, 0.63, NUC
0.47, 0.49, 0.63, 0.17, 0.5, 0.0, 0.31, 0.26, NUC
0.35, 0.4, 0.53, 0.18, 0.5, 0.0, 0.42, 0.38, CYT
0.53, 0.43, 0.47, 0.15, 0.5, 0.0, 0.58, 0.22, CYT
0.46, 0.45, 0.56, 0.16, 0.5, 0.0, 0.56, 0.22, CYT
0.48, 0.46, 0.38, 0.29, 0.5, 0.0, 0.53, 0.22, ME3
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, NUC
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, NUC
0.33, 0.28, 0.31, 0.24, 0.5, 0.0, 0.53, 0.22, ME3
0.61, 0.54, 0.49, 0.19, 0.5, 0.0, 0.54, 0.47, CYT
0.41, 0.3, 0.49, 0.28, 0.5, 0.0, 0.54, 0.22, CYT
0.43, 0.44, 0.3, 0.18, 0.5, 0.0, 0.51, 0.22, ME3
0.45, 0.57, 0.3, 0.17, 0.5, 0.0, 0.51, 0.22, ME3
0.35, 0.49, 0.47, 0.22, 0.5, 0.0, 0.5, 0.28, MIT
0.43, 0.51, 0.6, 0.25, 0.5, 0.0, 0.55, 0.22, CYT
0.42, 0.32, 0.61, 0.13, 0.5, 0.0, 0.14, 0.27, NUC
0.47, 0.43, 0.35, 0.32, 0.5, 0.0, 0.54, 0.22, ME3
0.23, 0.34, 0.41, 0.28, 0.5, 0.0, 0.5, 0.27, NUC
0.59, 0.53, 0.47, 0.26, 0.5, 0.0, 0.53, 0.31, NUC
0.53, 0.5, 0.54, 0.56, 0.5, 0.0, 0.49, 0.41, MIT
0.43, 0.32, 0.56, 0.27, 0.5, 0.0, 0.47, 0.27, NUC
0.89, 0.82, 0.6, 0.49, 0.5, 0.0, 0.55, 0.22, ME2
0.86, 0.92, 0.5, 0.37, 1.0, 0.0, 0.53, 0.32, ERL
0.37, 0.55, 0.29, 0.32, 0.5, 0.0, 0.51, 0.22, ME3
0.52, 0.48, 0.54, 0.28, 0.5, 0.0, 0.54, 0.22, NUC
0.58, 0.76, 0.4, 0.37, 0.5, 0.0, 0.54, 0.3, ME2
0.36, 0.44, 0.57, 0.18, 0.5, 0.0, 0.42, 0.22, MIT
0.48, 0.57, 0.52, 0.61, 0.5, 0.0, 0.51, 0.22, MIT
0.46, 0.14, 0.36, 0.21, 0.5, 0.0, 0.5, 0.25, ME3
0.44, 0.53, 0.43, 0.17, 0.5, 0.0, 0.54, 0.75, NUC
0.62, 0.64, 0.56, 0.2, 0.5, 0.0, 0.48, 0.33, NUC
0.5, 0.49, 0.52, 0.2, 0.5, 0.0, 0.43, 0.52, NUC
0.18, 0.48, 0.46, 0.12, 0.5, 0.0, 0.0, 0.25, NUC
0.49, 0.44, 0.45, 0.22, 0.5, 0.0, 0.51, 0.22, CYT
0.55, 0.49, 0.45, 0.18, 0.5, 0.0, 0.49, 0.22, NUC
0.4, 0.47, 0.48, 0.18, 0.5, 0.0, 0.46, 0.22, CYT
0.29, 0.46, 0.54, 0.27, 0.5, 0.0, 0.49, 0.22, CYT
0.79, 0.74, 0.49, 0.33, 0.5, 0.0, 0.48, 0.22, EXC
0.45, 0.48, 0.63, 0.67, 0.5, 0.0, 0.48, 0.22, MIT
0.6, 0.59, 0.45, 0.23, 0.5, 0.0, 0.55, 0.22, MIT
0.45, 0.73, 0.47, 0.65, 0.5, 0.0, 0.54, 0.43, MIT
0.74, 0.56, 0.35, 0.36, 0.5, 0.0, 0.51, 0.25, ME2
0.58, 0.46, 0.46, 0.34, 0.5, 0.0, 0.5, 0.43, NUC
0.59, 0.57, 0.43, 0.26, 0.5, 0.0, 0.51, 0.22, MIT
0.42, 0.53, 0.53, 0.64, 0.5, 0.0, 0.47, 0.22, MIT
0.45, 0.43, 0.63, 0.4, 0.5, 0.0, 0.59, 0.11, MIT
0.44, 0.44, 0.67, 0.35, 0.5, 0.0, 0.48, 0.26, MIT
0.58, 0.52, 0.61, 0.33, 0.5, 0.0, 0.38, 0.11, MIT
0.62, 0.59, 0.54, 0.47, 0.5, 0.0, 0.46, 0.22, MIT
0.55, 0.5, 0.6, 0.31, 0.5, 0.0, 0.46, 0.27, MIT
0.58, 0.53, 0.57, 0.46, 0.5, 0.0, 0.51, 0.27, MIT
0.76, 0.76, 0.35, 0.27, 0.5, 0.0, 0.44, 0.22, ME1
0.32, 0.45, 0.44, 0.2, 0.5, 0.0, 0.55, 0.33, NUC
0.53, 0.4, 0.57, 0.12, 0.5, 0.0, 0.53, 0.32, NUC
0.47, 0.46, 0.55, 0.28, 0.5, 0.0, 0.44, 0.46, NUC
0.51, 0.65, 0.53, 0.19, 0.5, 0.0, 0.49, 0.22, EXC
0.44, 0.41, 0.29, 0.21, 0.5, 0.0, 0.49, 0.22, ME3
0.56, 0.63, 0.52, 0.2, 0.5, 0.0, 0.34, 0.26, NUC
0.42, 0.28, 0.57, 0.18, 0.5, 0.0, 0.42, 0.22, NUC
0.49, 0.44, 0.51, 0.18, 0.5, 0.0, 0.52, 0.27, CYT
0.45, 0.41, 0.58, 0.48, 0.5, 0.0, 0.53, 0.64, NUC
0.25, 0.36, 0.58, 0.3, 0.5, 0.0, 0.58, 0.31, NUC
0.43, 0.38, 0.38, 0.12, 0.5, 0.0, 0.5, 0.22, ME2
0.64, 0.52, 0.5, 0.26, 0.5, 0.0, 0.51, 0.31, NUC
0.5, 0.51, 0.57, 0.27, 0.5, 0.0, 0.48, 0.22, POX
0.49, 0.45, 0.53, 0.16, 0.5, 0.0, 0.49, 0.31, CYT
0.49, 0.45, 0.46, 0.18, 0.5, 0.0, 0.49, 0.31, CYT
0.55, 0.59, 0.52, 0.1, 0.5, 0.0, 0.53, 0.22, CYT
0.41, 0.48, 0.38, 0.13, 0.5, 0.0, 0.51, 0.35, ME3
0.51, 0.46, 0.49, 0.21, 0.5, 0.0, 0.55, 0.22, VAC
0.59, 0.45, 0.58, 0.21, 0.5, 0.0, 0.49, 0.22, MIT
0.48, 0.52, 0.49, 0.35, 0.5, 0.5, 0.51, 0.22, MIT
0.57, 0.49, 0.5, 0.2, 0.5, 0.0, 0.51, 0.28, CYT
0.47, 0.49, 0.6, 0.15, 0.5, 0.0, 0.38, 0.22, CYT
0.74, 0.72, 0.5, 0.28, 0.5, 0.0, 0.49, 0.27, EXC
0.53, 0.54, 0.43, 0.18, 0.5, 0.0, 0.53, 0.31, NUC
0.77, 0.78, 0.51, 0.28, 0.5, 0.0, 0.33, 0.22, EXC
0.77, 0.73, 0.51, 0.27, 0.5, 0.0, 0.34, 0.22, EXC
0.78, 0.69, 0.44, 0.26, 0.5, 0.0, 0.54, 0.22, ME1
0.27, 0.56, 0.3, 0.14, 0.5, 0.0, 0.52, 0.39, ME3
0.38, 0.48, 0.51, 0.13, 0.5, 0.0, 0.5, 0.32, NUC
0.27, 0.49, 0.36, 0.26, 0.5, 0.0, 0.49, 0.26, ME3
0.45, 0.48, 0.56, 0.56, 0.5, 0.0, 0.47, 0.22, NUC
0.56, 0.48, 0.5, 0.17, 0.5, 0.0, 0.51, 0.26, CYT
0.38, 0.26, 0.6, 0.1, 0.5, 0.0, 0.48, 0.44, NUC
0.62, 0.41, 0.52, 0.17, 0.5, 0.0, 0.48, 0.22, NUC
0.28, 0.51, 0.55, 0.19, 0.5, 0.0, 0.57, 0.22, CYT
0.35, 0.47, 0.53, 0.19, 0.5, 0.0, 0.48, 0.22, CYT
0.6, 0.59, 0.47, 0.47, 0.5, 0.0, 0.53, 0.22, MIT
0.58, 0.53, 0.33, 0.26, 0.5, 0.0, 0.51, 0.22, ME3
0.46, 0.43, 0.5, 0.24, 0.5, 0.0, 0.48, 0.31, CYT
0.5, 0.62, 0.52, 0.3, 0.5, 0.0, 0.56, 0.22, MIT
0.64, 0.53, 0.59, 0.14, 0.5, 0.0, 0.53, 0.22, MIT
0.68, 0.53, 0.44, 0.31, 0.5, 0.0, 0.51, 0.22, MIT
0.24, 0.41, 0.47, 0.16, 0.5, 0.0, 0.51, 0.38, NUC
0.41, 0.52, 0.56, 0.26, 0.5, 0.0, 0.48, 0.32, NUC
0.4, 0.6, 0.5, 0.16, 0.5, 0.0, 0.51, 0.22, CYT
0.58, 0.31, 0.6, 0.12, 0.5, 0.0, 0.47, 0.33, NUC
0.44, 0.33, 0.55, 0.16, 0.5, 0.0, 0.49, 0.22, NUC
0.44, 0.45, 0.53, 0.19, 0.5, 0.0, 0.41, 0.28, NUC
0.45, 0.66, 0.39, 0.11, 0.5, 0.0, 0.54, 0.22, ME3
0.56, 0.51, 0.32, 0.49, 0.5, 0.0, 0.48, 0.22, NUC
0.37, 0.58, 0.5, 0.22, 0.5, 0.0, 0.47, 0.22, NUC
0.38, 0.4, 0.59, 0.25, 0.5, 0.0, 0.44, 0.22, CYT
0.45, 0.5, 0.57, 0.29, 0.5, 0.0, 0.44, 0.11, CYT
0.61, 0.38, 0.57, 0.36, 0.5, 0.0, 0.44, 0.21, CYT
0.72, 0.51, 0.52, 0.08, 0.5, 0.0, 0.54, 0.22, NUC
0.34, 0.48, 0.47, 0.19, 0.5, 0.0, 0.5, 0.3, NUC
0.46, 0.35, 0.69, 0.18, 0.5, 0.0, 0.3, 0.25, CYT
0.59, 0.51, 0.48, 0.12, 0.5, 0.0, 0.54, 0.31, CYT
0.61, 0.48, 0.56, 0.19, 0.5, 0.0, 0.53, 0.31, CYT
0.58, 0.45, 0.55, 0.27, 0.5, 0.0, 0.48, 0.11, CYT
0.4, 0.45, 0.61, 0.29, 0.5, 0.0, 0.44, 0.22, CYT
0.34, 0.34, 0.65, 0.4, 0.5, 0.0, 0.32, 0.16, CYT
0.47, 0.56, 0.46, 0.5, 0.5, 0.0, 0.51, 0.22, MIT
0.46, 0.33, 0.45, 0.22, 0.5, 0.0, 0.41, 0.37, CYT
0.46, 0.39, 0.54, 0.22, 0.5, 0.0, 0.48, 0.25, CYT
0.42, 0.5, 0.64, 0.13, 0.5, 0.0, 0.49, 0.22, CYT
0.46, 0.54, 0.59, 0.41, 0.5, 0.0, 0.53, 0.21, CYT
0.5, 0.5, 0.62, 0.23, 0.5, 0.0, 0.35, 0.11, CYT
0.37, 0.3, 0.62, 0.43, 0.5, 0.0, 0.44, 0.39, CYT
0.41, 0.46, 0.58, 0.08, 0.5, 0.0, 0.51, 0.28, NUC
0.37, 0.37, 0.51, 0.38, 0.5, 0.0, 0.44, 0.22, CYT
0.51, 0.4, 0.5, 0.28, 0.5, 0.0, 0.48, 0.27, CYT
0.5, 0.48, 0.48, 0.23, 0.5, 0.0, 0.53, 0.68, CYT
0.56, 0.42, 0.52, 0.14, 0.5, 0.0, 0.51, 0.22, CYT
0.53, 0.51, 0.55, 0.57, 0.5, 0.0, 0.46, 0.22, MIT
0.41, 0.49, 0.47, 0.09, 0.5, 0.0, 0.49, 0.22, CYT
0.37, 0.42, 0.46, 0.15, 0.5, 0.0, 0.51, 0.31, ME2
0.77, 0.82, 0.4, 0.36, 0.5, 0.0, 0.38, 0.22, ME1
0.47, 0.37, 0.46, 0.28, 0.5, 0.0, 0.52, 0.99, NUC
0.48, 0.5, 0.47, 0.29, 0.5, 0.0, 0.46, 0.27, NUC
0.56, 0.59, 0.45, 0.15, 0.5, 0.0, 0.54, 0.22, MIT
0.4, 0.49, 0.53, 0.23, 0.5, 0.0, 0.44, 0.26, NUC
0.42, 0.42, 0.55, 0.31, 0.5, 0.0, 0.43, 0.22, NUC
0.45, 0.41, 0.53, 0.49, 0.5, 0.0, 0.49, 0.31, NUC
0.32, 0.6, 0.48, 0.13, 0.5, 0.0, 0.53, 0.22, NUC
0.37, 0.55, 0.52, 0.13, 0.5, 0.0, 0.42, 0.8, CYT
0.19, 0.16, 0.68, 0.36, 0.5, 0.0, 0.49, 0.21, NUC
0.57, 0.51, 0.34, 0.13, 0.5, 0.0, 0.53, 0.27, MIT
0.52, 0.47, 0.58, 0.18, 0.5, 0.0, 0.34, 0.11, CYT
0.77, 0.73, 0.49, 0.46, 0.5, 0.0, 0.38, 0.22, EXC
0.27, 0.46, 0.52, 0.17, 0.5, 0.0, 0.49, 0.44, NUC
0.48, 0.65, 0.36, 0.24, 0.5, 0.0, 0.54, 0.31, NUC
0.59, 0.49, 0.45, 0.22, 0.5, 0.0, 0.45, 0.31, NUC
0.23, 0.13, 0.51, 0.16, 0.5, 0.0, 0.53, 0.51, NUC
0.49, 0.6, 0.54, 0.35, 0.5, 0.0, 0.53, 0.46, NUC
0.49, 0.48, 0.51, 0.21, 0.5, 0.0, 0.53, 0.22, NUC
0.56, 0.52, 0.46, 0.17, 0.5, 0.0, 0.49, 0.73, CYT
0.53, 0.48, 0.51, 0.18, 0.5, 0.0, 0.52, 0.27, CYT
0.44, 0.39, 0.63, 0.11, 0.5, 0.0, 0.49, 0.26, NUC
0.38, 0.51, 0.56, 0.21, 0.5, 0.0, 0.48, 0.31, NUC
0.49, 0.55, 0.41, 0.19, 0.5, 0.0, 0.48, 0.31, ME3
0.66, 0.65, 0.53, 0.17, 0.5, 0.0, 0.47, 0.66, NUC
0.33, 0.37, 0.49, 0.22, 0.5, 0.0, 0.55, 0.22, CYT
0.51, 0.59, 0.55, 0.21, 0.5, 0.0, 0.52, 0.22, CYT
0.43, 0.28, 0.41, 0.32, 0.5, 0.0, 0.52, 0.22, ME3
0.61, 0.54, 0.54, 0.38, 0.5, 0.0, 0.54, 0.29, MIT
0.41, 0.39, 0.61, 0.17, 0.5, 0.0, 0.5, 0.61, NUC
0.31, 0.51, 0.38, 0.18, 0.5, 0.0, 0.46, 0.31, ME3
0.44, 0.65, 0.49, 0.16, 0.5, 0.0, 0.48, 0.31, NUC
0.45, 0.4, 0.56, 0.15, 0.5, 0.0, 0.52, 0.22, NUC
0.58, 0.51, 0.63, 0.2, 0.5, 0.0, 0.5, 0.42, NUC
0.41, 0.59, 0.65, 0.14, 0.5, 0.0, 0.49, 0.33, NUC
0.32, 0.32, 0.52, 0.18, 0.5, 0.0, 0.48, 0.34, CYT
0.58, 0.55, 0.51, 0.13, 0.5, 0.0, 0.52, 0.22, CYT
0.55, 0.69, 0.51, 0.12, 0.5, 0.0, 0.51, 0.22, CYT
0.47, 0.46, 0.53, 0.12, 0.5, 0.0, 0.51, 0.25, NUC
0.57, 0.29, 0.63, 0.22, 0.5, 0.0, 0.49, 0.27, NUC
0.49, 0.5, 0.42, 0.43, 0.5, 0.0, 0.5, 0.36, VAC
0.63, 0.54, 0.53, 0.27, 0.5, 0.0, 0.49, 0.22, CYT
0.53, 0.45, 0.52, 0.29, 0.5, 0.0, 0.55, 0.38, MIT
0.62, 0.6, 0.54, 0.22, 0.5, 0.0, 0.54, 0.27, CYT
0.57, 0.36, 0.51, 0.25, 0.5, 0.0, 0.54, 0.25, CYT
0.45, 0.76, 0.51, 0.25, 0.5, 0.0, 0.59, 0.22, CYT
0.48, 0.44, 0.51, 0.24, 0.5, 0.0, 0.49, 0.22, CYT
0.59, 0.64, 0.44, 0.26, 0.5, 0.0, 0.5, 0.22, CYT
0.52, 0.51, 0.48, 0.12, 0.5, 0.0, 0.54, 0.31, CYT
0.42, 0.51, 0.33, 0.16, 0.5, 0.0, 0.54, 0.22, ME3
0.6, 0.57, 0.63, 0.22, 0.5, 0.0, 0.5, 0.49, NUC
0.68, 0.68, 0.35, 0.16, 0.5, 0.0, 0.62, 0.22, VAC
0.44, 0.35, 0.55, 0.14, 0.5, 0.0, 0.52, 0.22, VAC
0.48, 0.58, 0.58, 0.12, 0.5, 0.0, 0.49, 0.22, VAC
0.41, 0.48, 0.51, 0.2, 0.5, 0.0, 0.51, 0.22, CYT
0.63, 0.56, 0.52, 0.21, 0.5, 0.0, 0.5, 0.22, CYT
0.56, 0.68, 0.42, 0.36, 0.5, 0.0, 0.49, 0.22, CYT
0.57, 0.47, 0.48, 0.17, 0.5, 0.0, 0.52, 0.26, VAC
0.78, 0.71, 0.35, 0.25, 0.5, 0.0, 0.49, 0.22, ME1
1.0, 0.8, 0.29, 0.36, 0.5, 0.0, 0.52, 0.22, ME1
0.51, 0.39, 0.56, 0.55, 0.5, 0.0, 0.46, 0.64, MIT
0.69, 0.66, 0.36, 0.09, 0.5, 0.0, 0.56, 0.22, ME1
0.4, 0.45, 0.45, 0.15, 0.5, 0.0, 0.53, 0.48, NUC
0.45, 0.51, 0.43, 0.22, 0.5, 0.0, 0.57, 0.22, NUC
0.57, 0.53, 0.6, 0.28, 0.5, 0.0, 0.52, 0.45, NUC
0.53, 0.52, 0.49, 0.27, 0.5, 0.0, 0.51, 0.22, CYT
0.54, 0.44, 0.38, 0.22, 0.5, 0.0, 0.54, 0.3, ME3
0.4, 0.44, 0.47, 0.25, 0.5, 0.0, 0.54, 0.56, NUC
0.3, 0.68, 0.41, 0.17, 0.5, 0.0, 0.51, 0.22, ME3
0.74, 0.73, 0.32, 0.2, 0.5, 0.0, 0.55, 0.22, ME1
0.32, 0.45, 0.39, 0.14, 0.5, 0.0, 0.45, 0.22, ME3
0.64, 0.44, 0.56, 0.15, 0.5, 0.0, 0.56, 0.22, CYT
0.63, 0.65, 0.42, 0.18, 0.5, 0.0, 0.54, 0.27, ME3
0.33, 0.38, 0.47, 0.14, 0.5, 0.0, 0.51, 0.47, NUC
0.39, 0.33, 0.33, 0.23, 0.5, 0.0, 0.47, 0.22, ME3
0.63, 0.71, 0.44, 0.53, 0.5, 0.0, 0.52, 0.22, ME2
0.58, 0.67, 0.49, 0.16, 0.5, 0.0, 0.47, 0.28, MIT
0.38, 0.4, 0.39, 0.19, 0.5, 0.0, 0.46, 0.62, NUC
0.5, 0.61, 0.44, 0.2, 0.5, 0.0, 0.49, 0.22, MIT
0.46, 0.62, 0.46, 0.54, 0.5, 0.0, 0.51, 0.27, MIT
0.58, 0.56, 0.38, 0.39, 0.5, 0.0, 0.54, 0.57, NUC
0.32, 0.29, 0.29, 0.08, 0.5, 0.0, 0.52, 0.22, ME3
0.38, 0.32, 0.64, 0.41, 0.5, 0.0, 0.44, 0.11, CYT
0.47, 0.43, 0.61, 0.4, 0.5, 0.0, 0.48, 0.47, NUC
