@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
37, 0, 80, 0, 12, 5, 43, 67, 24, 1
42, -2, 83, 0, 42, 0, 42, 42, 0, 1
40, -4, 81, 0, 38, 0, 41, 43, 2, 1
85, -4, 88, 0, 2, 2, 3, 86, 82, 5
82, 1, 86, 3, -40, 5, 5, 128, 124, 5
53, 0, 88, 5, 52, -20, 35, 36, 2, 1
56, 0, 79, 0, 12, 18, 23, 66, 42, 4
51, -2, 77, 0, 52, 0, 26, 25, 0, 1
46, 0, 88, 2, 46, 0, 41, 41, 0, 1
43, -3, 86, -1, 44, 8, 42, 42, 0, 1
44, 0, 84, 0, 44, 8, 40, 40, 0, 1
55, 0, 78, -5, 8, 0, 23, 70, 48, 4
56, 0, 77, 0, 46, 12, 22, 31, 10, 4
41, 0, 86, -5, 38, -7, 46, 48, 2, 1
42, 4, 83, -5, 42, 0, 41, 41, 0, 1
52, -1, 88, 0, 52, -6, 35, 36, 0, 1
45, 0, 78, -5, 44, -21, 33, 34, 2, 1
56, 0, 77, 0, -20, -5, 21, 97, 76, 4
55, 0, 95, 0, 34, -13, 40, 62, 22, 4
37, 0, 77, 0, 26, 18, 40, 51, 12, 1
55, 0, 82, 0, -18, 19, 26, 100, 74, 4
49, 0, 111, 0, 50, 0, 62, 62, 0, 1
42, -1, 90, 0, 42, 0, 47, 48, 2, 1
55, 0, 83, 6, -32, -7, 27, 116, 90, 4
37, 5, 76, 0, 36, 1, 39, 39, 0, 1
37, 0, 84, 2, 24, -14, 47, 61, 14, 1
54, -3, 83, -1, 54, 0, 28, 28, 0, 1
56, 0, 97, 0, 38, 5, 41, 58, 18, 4
46, -4, 79, 0, 46, 0, 33, 32, 0, 1
42, -3, 79, 0, 42, 0, 37, 38, 2, 1
47, 0, 78, -7, 46, 0, 31, 32, 0, 1
44, -1, 85, 1, 44, 0, 41, 41, 0, 1
45, 0, 93, 0, 44, -8, 48, 50, 2, 1
44, 0, 77, -1, 44, 2, 33, 33, 0, 1
53, 0, 88, 0, 52, -27, 35, 37, 2, 1
39, 0, 86, 5, 38, 0, 47, 48, 0, 1
43, -4, 85, 0, 42, -19, 42, 44, 2, 1
48, 0, 88, 3, 50, 31, 40, 39, 0, 1
37, 0, 95, 0, 18, 24, 58, 77, 18, 1
38, 0, 77, 0, 38, 9, 39, 38, 0, 1
55, 0, 79, 0, 20, -1, 23, 58, 34, 4
55, 0, 98, 0, 52, 16, 42, 46, 4, 4
80, 4, 84, 0, -28, 0, 4, 112, 108, 5
37, 0, 93, 0, 16, 7, 55, 77, 22, 1
46, -4, 78, -1, 46, 0, 32, 32, 0, 1
46, -4, 86, 0, 46, 0, 41, 40, 0, 1
46, 0, 85, -2, 46, 7, 39, 39, 0, 1
37, 0, 95, 0, 16, 0, 58, 79, 22, 1
37, 0, 108, 2, 34, -30, 71, 75, 4, 1
43, 0, 83, 0, 42, -14, 39, 41, 2, 1
37, 0, 77, 0, 20, 19, 41, 57, 16, 1
55, 0, 77, 0, -28, 24, 22, 106, 84, 4
37, 0, 77, 0, 28, 6, 40, 48, 8, 1
41, 2, 78, 0, 42, 23, 37, 37, 0, 1
38, 0, 107, 3, 38, 0, 69, 68, 0, 1
47, 1, 86, -2, 46, 0, 39, 39, 0, 1
45, 0, 80, 0, 46, 20, 35, 34, 0, 1
49, -1, 106, 0, 50, 0, 57, 57, 0, 1
71, -33, 107, 0, 60, -21, 36, 47, 12, 3
55, 0, 77, 0, 8, -20, 22, 70, 48, 4
56, -5, 85, 1, 56, 0, 29, 28, 0, 1
55, 0, 81, 0, -10, -7, 25, 91, 66, 4
37, 0, 77, 6, 34, -16, 40, 43, 2, 1
51, 0, 81, 0, 52, 3, 29, 29, 0, 1
37, 0, 77, 0, 24, 9, 40, 54, 14, 1
39, 1, 93, -3, 38, 0, 54, 55, 0, 1
44, 2, 79, 0, 42, -18, 35, 37, 2, 1
50, -2, 80, 0, 50, 0, 30, 31, 2, 1
42, 2, 90, 0, 42, 0, 48, 49, 2, 1
46, 0, 77, 0, 44, -22, 32, 34, 2, 1
36, 0, 83, 2, 36, 0, 46, 46, 0, 1
38, 0, 90, 0, 8, 2, 52, 82, 30, 1
49, 0, 82, 0, 50, 7, 33, 33, 0, 1
37, 0, 98, 0, 30, 6, 61, 67, 6, 1
37, 0, 81, 0, 38, 21, 44, 43, 0, 1
45, -5, 90, 0, 44, -1, 45, 46, 2, 1
55, 1, 93, 5, 54, 0, 38, 39, 2, 1
54, -3, 80, 0, 54, 0, 26, 26, 0, 1
45, -1, 81, -3, 46, 17, 36, 35, 0, 1
52, -2, 87, 3, 52, 0, 35, 35, 0, 1
41, 0, 82, -6, 38, -2, 41, 43, 2, 1
56, -3, 92, 0, 56, 0, 36, 35, 0, 1
85, 0, 88, 0, 0, -17, 3, 88, 86, 5
76, 2, 81, -4, -42, -1, 5, 125, 120, 5
39, -3, 77, -1, 38, -2, 37, 38, 0, 1
51, -4, 81, 0, 52, 15, 30, 30, 0, 1
55, 0, 77, 0, 20, 0, 22, 57, 34, 4
37, -1, 83, -3, 26, -37, 46, 57, 12, 1
80, 0, 85, 5, -40, 8, 5, 126, 122, 5
56, 0, 95, 0, 50, -4, 40, 46, 6, 4
55, 0, 78, 0, 24, -26, 23, 55, 32, 4
47, -2, 77, -7, 46, 0, 31, 31, 0, 1
46, 2, 84, 0, 46, 18, 38, 37, 0, 1
41, 0, 77, 0, 38, -22, 36, 39, 2, 1
42, 3, 96, 0, 42, 0, 54, 55, 2, 1
37, 0, 79, 0, 36, -9, 41, 43, 2, 1
45, 0, 106, -4, 44, 0, 61, 62, 2, 1
55, 0, 78, -3, 8, -8, 23, 70, 48, 4
56, 5, 79, 0, 6, 0, 23, 74, 50, 4
53, 4, 79, 0, 42, 0, 25, 37, 12, 4
45, 0, 84, 1, 44, 0, 39, 40, 2, 1
43, -3, 79, 0, 42, -16, 35, 37, 2, 1
43, 0, 81, 0, 44, 26, 38, 37, 0, 1
37, 0, 93, 5, 28, 2, 56, 65, 8, 1
53, 1, 78, 0, 52, -2, 25, 26, 2, 1
80, 0, 84, 1, -28, 0, 4, 112, 108, 5
45, 1, 76, -3, 44, 0, 31, 32, 0, 1
37, 0, 81, -2, 36, -17, 43, 44, 2, 1
57, 0, 86, 1, 56, 0, 29, 29, 0, 1
37, 0, 78, 0, 30, 5, 41, 47, 6, 1
41, 0, 83, 3, 42, 27, 42, 42, 0, 1
37, 0, 76, 0, 36, -14, 39, 40, 2, 1
37, 0, 76, 0, 30, -30, 39, 45, 6, 1
37, 0, 76, 0, 20, 16, 40, 55, 16, 1
37, -1, 79, 0, 36, -1, 42, 43, 0, 1
44, 0, 86, 0, 42, -17, 43, 45, 2, 1
41, -2, 84, 0, 42, 10, 43, 43, 0, 1
44, 5, 80, 0, 44, 1, 36, 36, 0, 1
37, 0, 80, 0, 18, 7, 43, 62, 18, 1
46, 2, 88, 0, 46, 14, 42, 41, 0, 1
80, 3, 84, 0, -42, 0, 4, 128, 124, 5
37, 0, 97, 0, 36, -3, 60, 61, 2, 1
45, 0, 76, 0, 44, -11, 31, 32, 2, 1
55, 0, 95, 1, 42, 0, 40, 54, 14, 4
49, 2, 78, 0, 50, 22, 29, 29, 0, 1
37, 0, 83, 0, 34, -7, 46, 49, 2, 1
37, 0, 76, -3, 20, -6, 40, 55, 16, 1
53, -5, 83, 0, 52, -29, 30, 32, 2, 1
50, -1, 90, 2, 50, 0, 39, 41, 2, 1
49, 0, 106, -3, 46, -21, 57, 59, 2, 1
37, 0, 108, 0, 34, -20, 71, 75, 4, 1
56, 3, 97, 0, 50, -17, 41, 48, 6, 4
55, 0, 95, 0, 46, 1, 40, 49, 8, 4
102, -1, 104, 0, 72, 12, 1, 31, 30, 5
56, 2, 81, 0, -22, -5, 25, 105, 80, 4
45, 0, 88, -2, 46, 22, 42, 41, 0, 1
48, 0, 87, 0, 50, 27, 39, 38, 0, 1
49, 1, 81, 0, 50, 12, 33, 32, 0, 1
42, 3, 78, -7, 42, 0, 36, 37, 2, 1
55, -4, 96, 0, 54, 0, 41, 42, 2, 1
56, 4, 96, -3, 52, 0, 40, 44, 4, 4
55, 0, 93, 3, 20, -8, 37, 72, 34, 4
79, 0, 83, 0, -30, -8, 4, 114, 110, 5
55, 0, 79, 0, 10, 8, 23, 68, 46, 4
49, 0, 87, 0, 46, 0, 38, 41, 2, 1
56, 0, 79, 0, 16, 16, 23, 63, 40, 4
55, -3, 78, 1, 24, 0, 23, 55, 32, 4
42, 1, 77, 6, 42, 0, 35, 36, 0, 1
51, 1, 83, 0, 50, -6, 32, 33, 2, 1
37, 2, 104, 0, 24, 1, 66, 80, 14, 1
55, 0, 76, 3, -22, 0, 21, 99, 78, 4
82, -5, 87, 0, -40, 0, 5, 128, 124, 5
47, 2, 83, 0, 46, 0, 36, 37, 0, 1
48, 3, 83, 6, 46, 0, 35, 37, 2, 1
44, 5, 87, -3, 44, 3, 43, 43, 0, 1
101, 0, 102, 0, 72, 4, 1, 29, 28, 5
44, 1, 82, 0, 42, -14, 38, 41, 2, 1
44, 4, 79, 0, 44, 11, 35, 35, 0, 1
49, 4, 87, 0, 46, -4, 38, 41, 2, 1
50, 2, 87, 0, 50, 0, 37, 38, 2, 1
79, 0, 83, 0, -28, 27, 4, 112, 108, 5
42, 0, 85, -5, 42, 0, 43, 44, 2, 1
106, -3, 107, -5, 72, 0, 1, 35, 34, 5
47, 0, 86, -1, 46, -2, 38, 39, 0, 1
37, 0, 80, 6, 8, 0, 43, 72, 28, 1
55, 1, 87, 1, 54, 0, 32, 33, 2, 1
56, 0, 96, 0, 42, -28, 40, 55, 14, 4
45, 4, 79, 0, 44, 0, 34, 35, 2, 1
56, 1, 96, 8, 52, 0, 40, 44, 4, 4
37, 0, 77, 0, -18, -8, 40, 95, 54, 1
55, -2, 81, 0, 54, -8, 26, 27, 2, 1
37, -1, 77, -3, -20, 15, 41, 98, 58, 1
51, 0, 82, 0, 52, 27, 31, 30, 0, 1
56, 0, 95, 0, 44, 7, 40, 51, 12, 4
45, 1, 85, 5, 44, 0, 40, 41, 2, 1
37, 0, 90, 0, 30, 5, 53, 59, 6, 1
51, 0, 81, -3, 52, 8, 30, 30, 0, 1
43, 0, 90, 0, 42, -11, 47, 49, 2, 1
37, 0, 79, 0, 8, -18, 42, 71, 30, 1
37, 0, 77, 0, -24, -8, 41, 103, 62, 1
49, 0, 88, 1, 46, -26, 39, 41, 2, 1
37, 0, 77, 0, 36, -10, 39, 41, 2, 1
43, 0, 88, 0, 44, 23, 45, 44, 0, 1
37, 0, 92, 0, 26, 25, 55, 66, 12, 1
38, 0, 92, 0, 24, 17, 54, 69, 14, 1
37, 0, 81, -1, 10, 0, 44, 70, 26, 1
42, 0, 83, -1, 42, 0, 40, 41, 2, 1
37, 0, 105, 6, 24, 29, 68, 82, 14, 1
82, -2, 86, 0, -10, 1, 4, 96, 92, 5
64, 0, 113, 0, 64, 11, 48, 48, 0, 1
43, 0, 89, 0, 44, 24, 46, 45, 0, 1
55, 0, 93, -2, 10, -7, 37, 82, 46, 4
43, -2, 77, 0, 44, 18, 34, 34, 0, 1
49, -1, 77, -1, 46, -13, 29, 31, 2, 1
37, 0, 79, -1, 26, 9, 43, 54, 10, 1
44, 1, 81, 0, 44, 9, 37, 37, 0, 1
41, 1, 82, 0, 38, -18, 41, 43, 2, 1
37, -2, 77, 0, 36, -24, 40, 41, 2, 1
37, 0, 76, 0, 30, 27, 39, 45, 6, 1
41, 0, 79, -3, 38, -22, 38, 40, 2, 1
48, 5, 86, 0, 46, 0, 39, 40, 2, 1
37, 0, 104, 0, 18, 9, 66, 86, 20, 1
39, 0, 77, 2, 38, 0, 37, 38, 0, 1
42, 0, 81, 0, 42, 5, 39, 39, 0, 1
55, 0, 77, 0, -2, 0, 21, 79, 58, 4
37, 0, 79, 0, 12, 16, 42, 66, 24, 1
42, 3, 83, 4, 42, 0, 41, 42, 0, 1
49, 1, 80, 0, 46, -18, 31, 34, 2, 1
55, -1, 95, 0, 54, 0, 40, 41, 2, 1
41, 0, 88, 0, 38, -10, 47, 49, 2, 1
37, 0, 75, 0, 28, -7, 38, 46, 8, 1
49, 0, 107, 0, 46, -3, 58, 60, 2, 1
56, 0, 83, 0, 56, 6, 26, 26, 0, 1
55, 0, 93, -2, 18, 0, 38, 75, 38, 4
55, 0, 93, -1, 10, -2, 37, 82, 46, 4
38, 3, 76, 0, 38, 0, 37, 37, 0, 1
37, 0, 79, 0, 12, 10, 42, 66, 24, 1
47, 0, 86, -4, 46, 0, 39, 39, 0, 1
55, 0, 79, 0, 26, 4, 23, 53, 30, 4
37, 0, 76, -1, 20, -2, 39, 55, 16, 1
51, 0, 87, 2, 52, 16, 36, 35, 0, 1
37, 0, 77, -1, 20, 0, 40, 56, 16, 1
41, -3, 76, 0, 38, -19, 35, 37, 2, 1
55, 0, 93, 1, 54, 0, 38, 39, 2, 1
37, -1, 81, 0, 38, 6, 43, 42, 0, 1
37, 0, 76, 0, 36, -16, 39, 40, 2, 1
55, 0, 98, -3, 38, 0, 42, 59, 16, 4
52, 0, 79, 0, 54, 25, 26, 24, 0, 1
41, 0, 82, -4, 38, -8, 41, 43, 2, 1
37, 0, 78, 0, 34, -1, 41, 45, 4, 1
44, 2, 85, 0, 44, 3, 41, 41, 0, 1
41, 0, 88, -4, 42, 19, 48, 47, 0, 1
50, -1, 87, 0, 50, 0, 37, 38, 0, 1
37, 0, 97, 0, 18, -21, 60, 79, 18, 1
46, 3, 108, 0, 46, 11, 62, 61, 0, 1
37, 0, 80, 0, 36, 30, 43, 44, 2, 1
56, 0, 78, 1, 44, 0, 22, 34, 12, 4
55, -4, 78, 0, 56, 30, 23, 21, 0, 1
37, 0, 78, 0, -4, 28, 41, 83, 42, 1
44, -4, 77, 0, 44, 21, 33, 33, 0, 1
56, 0, 87, 0, 56, 14, 31, 30, 0, 1
37, 0, 105, 0, 24, 18, 68, 82, 14, 1
54, 0, 108, 5, 54, 0, 54, 54, 0, 1
