@relation unknow
@attribute a1 integer [27, 126]
@attribute a2 integer [-4821, 5075]
@attribute a3 integer [21, 149]
@attribute a4 integer [-3939, 3830]
@attribute a5 integer [-188, 436]
@attribute a6 integer [-13839, 13148]
@attribute a7 integer [-48, 105]
@attribute a8 integer [-353, 270]
@attribute a9 integer [-356, 266]
@attribute class {1, 2, 3, 4, 5, 6, 7}
@inputs a1, a2, a3, a4, a5, a6, a7, a8, a9
@outputs class
@data
36, 0, 80, 0, 36, 0, 44, 44, 0, 1
55, 0, 96, 0, 42, -3, 41, 55, 14, 4
56, 0, 77, 0, -12, 14, 21, 90, 68, 4
56, -1, 90, -1, 54, -30, 34, 35, 2, 1
37, 0, 90, 9, 6, 0, 53, 85, 32, 1
55, 0, 95, 0, 52, 3, 40, 44, 4, 4
80, 1, 84, 0, -36, 0, 4, 121, 116, 5
46, 0, 79, 1, 46, 12, 33, 32, 0, 1
51, 0, 91, 0, 52, 0, 40, 39, 0, 1
55, -5, 99, 0, 50, 0, 44, 50, 6, 4
44, 0, 75, -1, 44, 10, 31, 31, 0, 1
56, 2, 97, 0, 54, 3, 40, 42, 2, 1
52, 2, 77, 0, 52, 0, 25, 25, 0, 1
51, 0, 102, 0, 52, 11, 51, 50, 0, 1
56, 0, 77, 0, -22, 16, 21, 100, 80, 4
41, 5, 79, 0, 38, -5, 38, 40, 2, 1
55, 4, 91, 0, 54, 0, 35, 37, 2, 1
49, -3, 84, 0, 50, 13, 35, 35, 0, 1
44, 0, 77, 0, 42, -28, 33, 35, 2, 1
56, 0, 82, 0, 56, 11, 26, 25, 0, 1
54, 0, 81, 4, 54, 0, 27, 27, 0, 1
56, 0, 97, 3, 50, 0, 41, 48, 8, 4
37, 0, 80, 0, 8, 21, 43, 72, 30, 1
49, -1, 84, 0, 50, 4, 36, 35, 0, 1
37, 0, 79, -3, 20, -6, 43, 59, 16, 1
55, 0, 77, 0, -18, -10, 21, 95, 74, 4
37, 0, 79, -6, 2, 0, 43, 77, 34, 1
55, -1, 97, 0, 50, 0, 42, 48, 6, 4
48, -1, 86, 0, 46, 0, 38, 39, 2, 1
49, 0, 81, 0, 46, -9, 33, 35, 2, 1
46, 1, 77, 0, 44, -13, 31, 33, 2, 1
76, -5, 80, 0, -40, 0, 4, 121, 116, 5
38, 5, 79, 0, 36, 0, 41, 43, 2, 1
44, 1, 78, 0, 42, -30, 34, 37, 2, 1
41, 1, 76, -1, 38, 0, 35, 37, 2, 1
44, 0, 77, 2, 42, -17, 34, 36, 2, 1
37, 0, 82, 0, 34, 23, 45, 48, 2, 1
44, -1, 81, 1, 44, 6, 37, 37, 0, 1
38, -3, 78, 0, 38, 0, 40, 39, 0, 1
37, 0, 78, 0, 24, -15, 41, 55, 14, 1
38, 0, 102, 0, 36, -23, 64, 66, 2, 1
41, 0, 81, -3, 42, 0, 40, 40, 0, 1
106, -2, 108, 0, 70, 0, 1, 38, 36, 5
37, 0, 79, 0, 8, 27, 43, 72, 28, 1
46, 0, 76, 0, 44, -12, 30, 32, 2, 1
56, 0, 97, 0, 44, -2, 41, 53, 12, 4
46, 2, 81, 1, 46, 14, 35, 35, 0, 1
43, 0, 87, 8, 42, -5, 44, 46, 2, 1
43, 0, 79, 0, 44, 26, 35, 35, 0, 1
37, 0, 77, 0, 6, 22, 40, 72, 32, 1
40, 0, 84, 8, 38, 0, 44, 45, 2, 1
52, 2, 83, 0, 52, 0, 31, 32, 0, 1
41, -2, 76, 0, 42, 23, 35, 35, 0, 1
48, -1, 88, 0, 46, -4, 40, 42, 2, 1
44, -1, 80, 0, 44, 0, 36, 36, 0, 1
37, 0, 95, -5, 28, 0, 58, 67, 8, 1
49, 0, 88, 0, 50, 7, 40, 39, 0, 1
55, 0, 79, 0, 12, -9, 23, 66, 42, 4
55, 0, 97, -2, 50, -3, 42, 48, 6, 4
45, 0, 82, -3, 44, 0, 37, 38, 0, 1
37, 0, 77, 7, 24, 0, 40, 54, 14, 1
47, 0, 84, -1, 46, 0, 38, 38, 0, 1
41, 0, 85, 0, 38, -11, 44, 46, 2, 1
45, 0, 85, 1, 46, 23, 40, 39, 0, 1
44, 0, 81, 7, 42, -12, 38, 40, 2, 1
37, 0, 78, 3, 26, -2, 42, 52, 10, 1
43, -5, 76, 0, 42, 0, 33, 35, 2, 1
42, 0, 81, 0, 42, 7, 39, 40, 0, 1
39, 3, 83, 0, 38, 0, 44, 44, 0, 1
49, -4, 101, 1, 50, 9, 52, 52, 0, 1
57, 0, 91, 0, 56, 0, 34, 34, 0, 1
46, -3, 107, 0, 46, 0, 61, 60, 0, 1
56, 0, 76, 0, -10, 3, 20, 86, 66, 4
39, 1, 84, 0, 38, 0, 45, 46, 0, 1
56, 0, 92, -4, 50, 0, 36, 42, 6, 4
41, 0, 84, 1, 38, -5, 43, 45, 2, 1
37, 0, 106, 0, 36, -20, 68, 69, 2, 1
57, 5, 86, 0, 56, 0, 29, 29, 0, 1
37, 0, 80, 0, 8, 29, 43, 72, 30, 1
51, 0, 82, 0, 52, 29, 31, 30, 0, 1
70, -30, 107, 0, 60, -13, 37, 47, 10, 3
56, 0, 91, 0, -4, -22, 35, 96, 62, 4
43, 0, 86, 3, 42, -6, 43, 45, 2, 1
56, 2, 77, 0, 16, 0, 22, 62, 40, 4
45, 0, 86, 0, 44, 0, 42, 42, 0, 1
56, 0, 78, 0, 0, 8, 22, 78, 56, 4
53, 0, 80, 0, 54, 6, 27, 26, 0, 1
84, 0, 88, 1, 0, 0, 3, 88, 84, 5
47, 0, 88, 5, 46, 0, 42, 42, 0, 1
82, 2, 86, 0, -22, 10, 4, 109, 106, 5
49, 0, 81, 0, 50, 6, 33, 32, 0, 1
41, 0, 81, 0, 38, -14, 40, 42, 2, 1
37, 0, 79, 5, 30, -17, 42, 48, 6, 1
53, 3, 84, 0, 54, 25, 31, 30, 0, 1
41, -1, 79, 6, 38, -10, 39, 41, 2, 1
40, 0, 87, 1, 38, 0, 47, 48, 2, 1
56, 4, 85, 0, 54, -9, 29, 31, 2, 1
45, 1, 84, 0, 44, -6, 39, 41, 2, 1
41, 2, 80, 0, 38, 0, 39, 41, 2, 1
41, 0, 82, 0, 42, 31, 41, 41, 0, 1
37, 0, 78, 0, 0, -3, 42, 78, 36, 1
49, 0, 106, -1, 50, 11, 57, 57, 0, 1
56, 0, 81, 0, -10, -11, 25, 91, 66, 4
55, 0, 99, 0, 50, 10, 43, 49, 6, 4
45, 0, 93, 0, 46, 7, 48, 47, 0, 1
55, -5, 78, 0, 24, 0, 23, 55, 32, 4
37, 0, 76, -2, 36, -3, 39, 40, 0, 1
48, -1, 110, 0, 46, -1, 62, 64, 2, 1
37, 0, 105, 0, 16, -12, 68, 89, 22, 1
37, 0, 78, 0, 2, 3, 41, 75, 34, 1
55, 0, 81, 6, 54, 0, 27, 27, 0, 1
37, 0, 77, 5, 36, 8, 40, 41, 0, 1
38, 0, 86, -1, 38, 0, 48, 47, 0, 1
37, 0, 75, 0, 30, 0, 38, 44, 6, 1
56, 0, 95, 0, 50, 23, 40, 46, 6, 4
37, 0, 90, 0, 30, 18, 53, 59, 6, 1
47, -1, 85, 4, 46, 0, 38, 39, 0, 1
54, 0, 83, 3, 54, 0, 29, 29, 0, 1
55, 0, 76, 5, -22, 0, 21, 99, 78, 4
57, 10, 76, 12, -4, 0, 19, 81, 62, 4
48, -4, 83, 0, 46, 0, 35, 36, 2, 1
43, 0, 85, -6, 42, 0, 42, 44, 2, 1
57, -4, 86, 0, 56, 0, 29, 29, 0, 1
37, 0, 78, 0, -6, -22, 42, 86, 44, 1
37, 0, 80, -7, 34, -4, 43, 46, 2, 1
51, 0, 83, 4, 50, -2, 32, 33, 2, 1
55, 0, 77, 0, -28, -17, 22, 106, 84, 4
42, 0, 82, 2, 42, 0, 39, 41, 2, 1
45, 3, 84, 0, 44, 0, 38, 40, 2, 1
46, 4, 81, 0, 46, 6, 35, 34, 0, 1
53, 0, 86, 0, 52, -16, 33, 34, 2, 1
49, 0, 85, 0, 50, 19, 36, 36, 0, 1
55, 0, 95, 0, 50, 3, 40, 46, 6, 4
38, 2, 79, 0, 38, 20, 41, 40, 0, 1
46, -2, 83, 0, 46, 0, 36, 36, 0, 1
37, 0, 105, 3, 18, 0, 68, 87, 18, 1
41, 0, 97, 0, 42, 29, 56, 55, 0, 1
48, -1, 84, 0, 46, -3, 36, 38, 2, 1
46, 0, 88, -4, 46, 16, 43, 42, 0, 1
49, -3, 107, 0, 46, -30, 58, 60, 2, 1
50, -2, 84, 0, 50, 0, 34, 35, 0, 1
37, 0, 76, -4, 36, 0, 39, 40, 0, 1
47, -1, 84, 0, 46, 0, 37, 38, 0, 1
43, 0, 83, 2, 44, 22, 40, 39, 0, 1
43, 0, 87, 0, 42, -9, 44, 46, 2, 1
102, 0, 103, 0, 72, 13, 1, 31, 30, 5
56, 5, 99, 3, 38, 0, 43, 60, 18, 4
41, 1, 80, 0, 38, 0, 39, 41, 2, 1
44, 2, 86, 0, 44, 5, 42, 42, 0, 1
55, -1, 78, 0, 18, 29, 23, 60, 38, 4
53, 0, 102, 0, 54, 6, 49, 48, 0, 1
55, 0, 82, -4, -24, 0, 26, 108, 82, 4
67, 4, 112, 0, 68, 2, 45, 45, 0, 1
48, -2, 87, 0, 46, -8, 39, 41, 2, 1
56, 5, 97, 0, 52, 6, 40, 45, 4, 4
37, 0, 76, 0, 36, 2, 38, 39, 2, 1
55, -1, 98, 0, 52, 2, 42, 46, 4, 4
49, 2, 95, 0, 46, -12, 47, 49, 2, 1
37, 0, 104, -1, 28, 1, 67, 76, 8, 1
45, 0, 76, 0, 46, 8, 30, 29, 0, 1
45, 0, 82, -5, 44, 0, 37, 38, 0, 1
56, 0, 86, 0, 56, 12, 31, 30, 0, 1
102, 0, 103, 0, 70, -10, 1, 33, 32, 5
56, 0, 96, 0, 54, -1, 40, 42, 2, 1
55, 0, 77, 0, 6, -22, 22, 72, 50, 4
53, 0, 83, 5, 54, 4, 30, 29, 0, 1
55, 0, 77, 0, 28, 9, 21, 48, 28, 4
56, 5, 97, 0, 50, 3, 41, 48, 8, 4
76, 2, 81, 0, -40, 0, 4, 122, 118, 5
46, 0, 77, 0, 44, -19, 32, 34, 2, 1
49, -5, 89, 0, 46, -30, 40, 42, 2, 1
37, 0, 82, 0, 36, 22, 45, 46, 2, 1
55, 0, 94, -4, 50, 0, 39, 45, 6, 4
37, 0, 95, -5, 16, 5, 58, 79, 22, 1
56, 5, 97, 0, 36, 0, 40, 60, 20, 4
47, 5, 84, 0, 46, 0, 38, 38, 0, 1
41, 0, 83, 8, 42, 5, 42, 42, 0, 1
37, 0, 98, 0, 28, -4, 61, 70, 8, 1
38, 0, 102, 0, 34, -8, 65, 69, 4, 1
55, 1, 88, 1, 54, 0, 32, 33, 2, 1
40, 0, 89, 0, 38, 0, 49, 50, 2, 1
37, 0, 79, 0, 10, -21, 42, 68, 26, 1
123, 1409, 105, 1, 36, -5, -18, 69, 86, 5
47, 0, 88, 4, 46, 0, 41, 41, 0, 1
37, 0, 77, 0, 8, 17, 40, 69, 28, 1
37, 1, 82, 0, 36, 0, 45, 46, 0, 1
42, 3, 79, 8, 42, 0, 37, 38, 0, 1
56, 5, 96, 0, 52, 0, 40, 44, 4, 4
56, 0, 77, 0, -18, -4, 21, 95, 74, 4
41, 0, 81, 0, 38, -19, 41, 43, 2, 1
45, 0, 81, 0, 44, -23, 35, 37, 2, 1
45, 0, 86, -1, 44, -13, 41, 42, 2, 1
46, 0, 84, -2, 46, -3, 38, 37, 0, 1
45, 0, 79, 0, 44, -23, 33, 35, 2, 1
57, 3, 88, 0, 56, 0, 31, 31, 0, 1
82, 0, 85, 0, -6, 17, 3, 93, 90, 5
56, 0, 76, 0, -14, -23, 20, 92, 72, 4
45, -2, 81, 0, 46, 11, 35, 34, 0, 1
37, 0, 97, -6, 26, -5, 60, 71, 12, 1
45, 0, 86, 8, 44, -2, 41, 42, 2, 1
46, 0, 79, 2, 46, 8, 34, 33, 0, 1
56, -1, 96, 0, 52, 5, 40, 44, 4, 4
56, 2, 82, 0, 54, -12, 26, 28, 2, 1
37, 0, 80, 0, 20, -5, 43, 59, 16, 1
37, 0, 90, 0, 20, 5, 53, 70, 16, 1
56, -1, 97, 0, 50, -5, 41, 48, 6, 4
37, 0, 103, 0, 30, 16, 66, 72, 6, 1
47, 0, 89, -7, 46, 0, 42, 42, 0, 1
37, 0, 80, 0, 12, 2, 43, 67, 24, 1
37, 0, 78, 0, 16, -19, 42, 63, 22, 1
53, 5, 81, 0, 54, 4, 28, 27, 0, 1
84, -2, 88, 0, 6, 0, 4, 83, 78, 5
46, 0, 85, 0, 46, 14, 39, 39, 0, 1
45, 0, 77, 0, 46, 21, 31, 30, 0, 1
55, 0, 83, 0, -28, 6, 27, 111, 84, 4
56, -4, 86, 0, 56, 5, 30, 29, 0, 1
37, 0, 78, -4, 24, 0, 42, 55, 14, 1
41, -5, 76, 0, 38, -15, 35, 37, 2, 1
57, 1, 84, -6, 56, 0, 28, 28, 0, 1
40, 4, 77, 0, 38, 0, 38, 39, 2, 1
55, 0, 78, 0, 6, 20, 23, 73, 50, 4
41, -1, 97, -5, 38, -10, 56, 58, 2, 1
37, 0, 78, 0, 8, 17, 41, 70, 30, 1
44, 5, 77, 8, 44, 2, 33, 34, 0, 1
45, 1, 81, 0, 44, 0, 36, 37, 0, 1
37, 0, 90, 2, 26, 0, 53, 64, 12, 1
37, 0, 76, 0, 18, -11, 40, 58, 18, 1
37, 0, 77, 2, -18, 0, 41, 96, 54, 1
37, -85, 77, 0, 20, 0, 40, 57, 16, 3
45, -1, 77, 0, 46, 8, 32, 31, 0, 1
37, 0, 83, 0, 2, -16, 46, 81, 34, 1
37, 0, 78, 0, 24, -26, 41, 55, 14, 1
43, 1, 75, -3, 42, 0, 32, 34, 2, 1
37, 1, 75, 0, 18, -7, 38, 57, 18, 1
49, -1, 81, 0, 46, -20, 33, 35, 2, 1
45, -1, 93, 0, 46, 13, 48, 47, 0, 1
107, -1, 108, -1, 72, 16, 1, 36, 34, 5
84, 0, 88, -2, 6, -6, 5, 83, 78, 5
37, 0, 81, 0, 28, -7, 45, 53, 8, 1
37, 0, 97, 1, 30, 0, 60, 66, 6, 1
49, 2, 84, 0, 50, 10, 35, 35, 0, 1
45, 0, 82, 4, 44, -17, 37, 38, 2, 1
44, 0, 81, -2, 44, 9, 37, 37, 0, 1
37, 0, 97, 0, 28, -16, 60, 69, 8, 1
38, 1, 76, 0, 38, 7, 38, 37, 0, 1
55, -1, 99, 3, 46, 0, 43, 52, 8, 4
45, 2, 80, 5, 44, 0, 35, 36, 0, 1
43, 0, 83, 1, 44, 25, 40, 39, 0, 1
49, -1, 79, 0, 46, -11, 31, 33, 2, 1
37, 0, 81, 0, 26, -4, 44, 55, 10, 1
41, 1, 88, -3, 38, 0, 48, 50, 2, 1
50, 2, 107, 0, 50, 0, 56, 58, 2, 1
44, 0, 86, 0, 42, -25, 42, 44, 2, 1
52, 0, 86, 0, 52, -3, 33, 34, 0, 1
40, 5, 106, 0, 38, 0, 65, 67, 2, 1
45, 0, 82, -38, 44, 0, 37, 38, 0, 1
37, 0, 79, 0, 10, -22, 43, 69, 26, 1
43, 0, 86, -8, 44, 15, 42, 42, 0, 1
56, -1, 95, 0, 46, 2, 40, 49, 10, 4
49, 1, 83, 0, 50, 1, 33, 33, 0, 1
56, 0, 96, 0, 54, 13, 40, 42, 2, 1
37, 0, 76, 0, 18, 6, 39, 58, 18, 1
37, 0, 78, 0, 18, 19, 41, 60, 18, 1
102, -1, 104, 0, 70, 0, 1, 34, 32, 5
55, 0, 95, -6, 38, 0, 40, 57, 16, 4
49, -2, 88, 0, 50, 3, 40, 39, 0, 1
46, 0, 89, 2, 46, 0, 43, 42, 0, 1
37, -1, 76, -4, 30, -7, 40, 45, 6, 1
53, 0, 82, 0, 54, 19, 29, 28, 0, 1
49, 5, 78, 0, 46, -1, 29, 32, 2, 1
55, 1, 73, -10, -2, 9, 18, 76, 58, 4
56, 2, 98, 0, 50, -29, 42, 49, 6, 4
42, 0, 80, -1, 42, -2, 38, 39, 0, 1
37, 0, 108, -3, 30, 0, 71, 77, 6, 1
41, 3, 75, 0, 38, 0, 34, 36, 2, 1
37, 0, 80, -1, 12, -3, 43, 67, 24, 1
41, 0, 82, 0, 38, -16, 41, 43, 2, 1
103, 4, 104, 8, 70, 0, 1, 35, 34, 5
37, 0, 77, 0, 18, -1, 40, 59, 18, 1
37, 0, 97, 0, 30, -19, 60, 66, 6, 1
50, 0, 86, -2, 50, 0, 36, 37, 0, 1
44, 0, 77, 0, 44, 19, 33, 33, 0, 1
55, 0, 77, 0, 38, -3, 22, 39, 16, 4
44, 3, 83, 0, 44, 0, 39, 39, 0, 1
43, 0, 78, 0, 42, -21, 35, 37, 2, 1
56, 0, 77, 0, 46, 3, 22, 31, 10, 4
45, 0, 83, -2, 44, -13, 37, 39, 2, 1
45, 0, 88, 0, 44, -29, 42, 44, 2, 1
37, -1, 76, -3, 36, -6, 39, 39, 0, 1
37, 0, 81, 0, 10, 19, 44, 70, 26, 1
37, 2, 79, 0, 0, 0, 41, 79, 38, 1
46, 0, 83, 0, 46, 2, 37, 37, 0, 1
78, 1, 82, 1, -40, 7, 4, 123, 120, 5
44, -16, 88, 0, 44, 0, 44, 44, 0, 1
56, 4, 99, 0, 38, 0, 42, 60, 18, 4
37, 1, 76, 0, 30, 0, 39, 45, 6, 1
41, 4, 88, 0, 42, 1, 47, 47, 0, 1
41, 4, 90, 7, 42, 15, 48, 48, 0, 1
41, 0, 84, 5, 38, -7, 43, 45, 2, 1
56, 0, 86, 0, 56, 11, 30, 29, 0, 1
47, -4, 84, -3, 46, 0, 38, 38, 0, 1
44, 0, 86, 3, 44, 4, 43, 42, 0, 1
46, -2, 77, 0, 46, 4, 32, 31, 0, 1
37, 0, 97, 0, 36, -13, 60, 61, 2, 1
55, 0, 108, -5, 54, 0, 52, 53, 0, 1
49, 0, 100, 0, 46, -12, 52, 54, 2, 1
37, 0, 97, 1, 24, 11, 60, 74, 14, 1
39, 2, 81, 0, 38, 0, 43, 43, 0, 1
44, 0, 81, 0, 44, 11, 37, 37, 0, 1
44, 0, 83, 0, 42, -27, 39, 41, 2, 1
37, 0, 79, 0, 36, 6, 41, 43, 2, 1
56, 2, 96, -1, 52, 0, 40, 44, 4, 4
56, 1, 95, 0, 56, 10, 39, 39, 0, 1
45, 4, 87, 0, 44, 0, 43, 43, 0, 1
37, 0, 105, 1, 20, 0, 68, 84, 16, 1
42, 0, 81, 0, 42, 42, 39, 40, 0, 1
55, 0, 77, 0, -28, -19, 21, 105, 84, 4
55, 0, 79, 0, 24, 9, 23, 55, 32, 4
55, -1, 79, -5, 20, -8, 23, 58, 34, 4
37, 0, 97, -1, 18, -1, 60, 79, 18, 1
39, 0, 81, -1, 38, -1, 43, 43, 0, 1
81, -1, 85, -2, -40, 0, 4, 126, 122, 5
41, 3, 84, 0, 38, 0, 44, 46, 2, 1
45, 0, 109, 0, 46, 23, 64, 63, 0, 1
49, 0, 86, 0, 46, -11, 38, 40, 2, 1
75, 0, 80, 4, -42, 0, 5, 124, 120, 5
85, 0, 88, 0, 2, -17, 3, 86, 82, 5
53, 0, 82, 0, 54, 26, 29, 28, 0, 1
39, 2, 75, 0, 38, 0, 35, 36, 0, 1
52, 0, 83, 0, 52, -2, 30, 31, 0, 1
45, -4, 86, 0, 44, -17, 41, 42, 2, 1
37, -5, 79, 0, 38, 12, 41, 40, 0, 1
55, -2, 83, 0, 54, 0, 29, 29, 0, 1
40, 1, 81, 0, 38, 0, 40, 42, 2, 1
41, 3, 82, 0, 38, -26, 41, 43, 2, 1
55, 0, 79, 0, 26, 12, 23, 53, 30, 4
55, 0, 77, -1, 0, 10, 22, 77, 56, 4
37, 0, 76, 0, 34, 30, 39, 42, 2, 1
51, 0, 87, -4, 52, 1, 36, 35, 0, 1
56, 1, 91, 0, 56, 1, 35, 34, 0, 1
49, -3, 89, 0, 50, 0, 40, 40, 0, 1
49, 0, 79, 0, 46, -2, 30, 32, 2, 1
56, 0, 77, 0, -2, -30, 21, 79, 58, 4
51, -4, 78, 0, 52, 0, 27, 26, 0, 1
53, 3, 86, 0, 54, 0, 32, 32, 0, 1
56, -2, 97, 0, 46, 13, 41, 51, 10, 4
53, 2, 88, 0, 52, -12, 35, 36, 2, 1
55, 3, 82, 0, 54, 0, 27, 28, 0, 1
44, 0, 91, -1, 44, 0, 47, 47, 0, 1
41, 0, 76, 0, 38, -26, 35, 37, 2, 1
56, 0, 77, 0, 16, -10, 22, 62, 40, 4
41, -4, 78, -3, 42, -5, 37, 37, 0, 1
50, 3, 95, -6, 50, 0, 45, 46, 0, 1
45, 0, 81, 0, 44, -1, 36, 37, 0, 1
55, 0, 79, 1, 24, 18, 24, 56, 32, 4
42, 1, 88, 0, 42, 0, 47, 47, 0, 1
50, 1, 78, -4, 50, 0, 29, 29, 0, 1
55, 0, 87, 0, 54, -4, 32, 33, 2, 1
37, 0, 77, 0, 16, 12, 40, 61, 22, 1
56, 0, 79, 0, 56, 5, 24, 23, 0, 1
56, -5, 86, 0, 56, 0, 29, 29, 0, 1
42, -5, 79, 0, 42, 0, 36, 37, 2, 1
53, 0, 81, 0, 52, -21, 28, 30, 2, 1
39, 0, 78, 0, 38, 0, 39, 39, 0, 1
59, 0, 108, 0, 56, -13, 49, 51, 2, 1
39, 16, 77, 0, 28, 0, 37, 48, 12, 1
37, 2, 76, 0, 34, 0, 39, 43, 4, 1
58, 0, 86, -6, 56, 0, 28, 29, 0, 1
45, 0, 84, 0, 44, -6, 40, 41, 2, 1
